experiment_id,timestamp,status,git_branch,git_commit,model,dataset_split,seed,image_size,batch_size,epochs,learning_rate,best_epoch,val_miou,val_ece,val_nll,val_brier,cal_miou,cal_ece,cal_nll,cal_brier,test_miou,checkpoint_path,notes
segformer_b0_suim_v1,2026-07-21T22:45:00+08:00,invalid,master,d33f5b7,nvidia/mit-b0,data/suim_processed/splits/v1_seed_20260721,20260721,384,4,100,0.00006,100,0.6511729271483717,0.10349556393103154,0.8308153947194418,0.2644075119530248,0.6844158278168005,0.11125867213244978,0.8729157568149664,0.2735983331998189,,outputs/segformer_b0_suim_ce/checkpoints/best.pt,"Engineering-only: invalid for paper because cross-split exact duplicate leakage was found; official TEST locked"
segformer_b0_suim_v2_scene,2026-07-22T09:33:34+08:00,accepted,experiment/baseline-v2,7144d0034fbace2c72632bf63d8e661bd62601c8,nvidia/mit-b0,data/suim_processed/splits/v2_scene_grouped_deduplicated,20260721,384,4,100,0.00006,80,0.6029388738576333,0.08912265713224987,0.752649837432931,0.23994914164463316,0.6525628259208327,0.10007122950307928,0.8057961875808112,0.27088171887796947,,outputs/segformer_b0_suim_v2_scene/checkpoints/best.pt,"Formal scene-grouped baseline accepted; best.pt frozen for degradation pilot; official TEST not evaluated"
