boundary_radius,comparison,metric,mean_difference,ci95_low,ci95_high,iterations,cluster_unit,images
1,boundary_minus_interior,nll,0.7178090858876813,0.6584119877525092,0.7731625882440861,1000,sample_id_with_all_13_conditions,146
1,boundary_minus_interior,ece,0.015010544335290445,-0.00034576516411780175,0.029000881997490256,1000,sample_id_with_all_13_conditions,146
1,boundary_minus_interior,aurc,0.35269085685221097,0.3342897731790535,0.3700098795175639,1000,sample_id_with_all_13_conditions,146
1,boundary_minus_interior,eaurc,0.23684138797791193,0.22520507263753267,0.24850721798049133,1000,sample_id_with_all_13_conditions,146
1,clean_global_minus_raw_boundary,nll,-0.5204633870767333,-0.6099307641075168,-0.43245952586092223,1000,sample_id_with_all_13_conditions,146
1,clean_global_minus_raw_boundary,ece,-0.12911518013609907,-0.13898032466353272,-0.11913530918819194,1000,sample_id_with_all_13_conditions,146
3,boundary_minus_interior,nll,0.5913411543007202,0.5315329105463739,0.6477425573922415,1000,sample_id_with_all_13_conditions,146
3,boundary_minus_interior,ece,0.018931194351442866,0.0035083746723149883,0.03311088534239147,1000,sample_id_with_all_13_conditions,146
3,boundary_minus_interior,aurc,0.21884576377363324,0.19838412831138888,0.23827960340702972,1000,sample_id_with_all_13_conditions,146
3,boundary_minus_interior,eaurc,0.1545302594184024,0.1430272124852042,0.16654786973361982,1000,sample_id_with_all_13_conditions,146
3,clean_global_minus_raw_boundary,nll,-0.39185749732662783,-0.4807326855536161,-0.3058806677752619,1000,sample_id_with_all_13_conditions,146
3,clean_global_minus_raw_boundary,ece,-0.0558932665763635,-0.07259129392738775,-0.03860924965494351,1000,sample_id_with_all_13_conditions,146
5,boundary_minus_interior,nll,0.5099323942570134,0.44588579522589017,0.56756730802867,1000,sample_id_with_all_13_conditions,146
5,boundary_minus_interior,ece,0.023732108453734312,0.007781650032493586,0.037564876148249916,1000,sample_id_with_all_13_conditions,146
5,boundary_minus_interior,aurc,0.15525814434734161,0.13710670615211412,0.17356084089037344,1000,sample_id_with_all_13_conditions,146
5,boundary_minus_interior,eaurc,0.11223319411485781,0.10149724467325494,0.12410174855622823,1000,sample_id_with_all_13_conditions,146
5,clean_global_minus_raw_boundary,nll,-0.3426493067447506,-0.43947593604304896,-0.25291384368988956,1000,sample_id_with_all_13_conditions,146
5,clean_global_minus_raw_boundary,ece,-0.026654618136606346,-0.04517072074495509,-0.008350008556359974,1000,sample_id_with_all_13_conditions,146
