method,fit_scope,seed,target_alpha,condition,coverage,selective_risk,risk_excess,worst_condition_risk
global_crc,calibration_cluster_mean,,0.05,clean,0.009999999999999998,0.03590374567049078,-0.014096254329509221,0.03590374567049078
global_crc,calibration_cluster_mean,,0.05,color_s1,0.009999999999999998,0.040842709498782506,-0.009157290501217497,0.040842709498782506
global_crc,calibration_cluster_mean,,0.05,color_s2,0.009999999999999998,0.03914164598765118,-0.010858354012348824,0.03914164598765118
global_crc,calibration_cluster_mean,,0.05,color_s3,0.009999999999999998,0.03733124325613249,-0.012668756743867512,0.03733124325613249
global_crc,calibration_cluster_mean,,0.05,turbidity_s1,0.009999999999999998,0.039186160322306075,-0.010813839677693927,0.039186160322306075
global_crc,calibration_cluster_mean,,0.05,turbidity_s2,0.009999999999999998,0.034076182154672945,-0.015923817845327058,0.034076182154672945
global_crc,calibration_cluster_mean,,0.05,turbidity_s3,0.009999999999999998,0.036490190090746444,-0.013509809909253559,0.036490190090746444
global_crc,calibration_cluster_mean,,0.05,lowlight_s1,0.009999999999999998,0.03836028982562591,-0.011639710174374096,0.03836028982562591
global_crc,calibration_cluster_mean,,0.05,lowlight_s2,0.009999999999999998,0.056614093210934545,0.006614093210934542,0.056614093210934545
global_crc,calibration_cluster_mean,,0.05,lowlight_s3,0.009999999999999998,0.1232953476546416,0.0732953476546416,0.1232953476546416
global_crc,calibration_cluster_mean,,0.05,blur_s1,0.009999999999999998,0.03504411543586424,-0.014955884564135762,0.03504411543586424
global_crc,calibration_cluster_mean,,0.05,blur_s2,0.009999999999999998,0.04516894096137734,-0.004831059038622666,0.04516894096137734
global_crc,calibration_cluster_mean,,0.05,blur_s3,0.009999999999999998,0.06263070774707513,0.012630707747075129,0.06263070774707513
oracle_condition_crc,condition_label_diagnostic_only,,0.05,clean,0.06000000000000001,0.05253701714825919,0.0025370171482591852,0.05253701714825919
oracle_condition_crc,condition_label_diagnostic_only,,0.05,color_s1,0.039999999999999994,0.04764197451001445,-0.002358025489985552,0.04764197451001445
oracle_condition_crc,condition_label_diagnostic_only,,0.05,color_s2,0.030000000000000006,0.04521511587152101,-0.0047848841284789945,0.04521511587152101
oracle_condition_crc,condition_label_diagnostic_only,,0.05,color_s3,0.019999999999999997,0.039502377861266896,-0.010497622138733106,0.039502377861266896
oracle_condition_crc,condition_label_diagnostic_only,,0.05,turbidity_s1,0.039999999999999994,0.04550588771394671,-0.004494112286053294,0.04550588771394671
oracle_condition_crc,condition_label_diagnostic_only,,0.05,turbidity_s2,0.06000000000000001,0.05029937187884068,0.00029937187884068045,0.05029937187884068
oracle_condition_crc,condition_label_diagnostic_only,,0.05,turbidity_s3,0.030000000000000006,0.04482412545025028,-0.005175874549749722,0.04482412545025028
oracle_condition_crc,condition_label_diagnostic_only,,0.05,lowlight_s1,0.030000000000000006,0.04546194303773504,-0.004538056962264961,0.04546194303773504
oracle_condition_crc,condition_label_diagnostic_only,,0.05,lowlight_s2,0.009999999999999998,0.056614093210934545,0.006614093210934542,0.056614093210934545
oracle_condition_crc,condition_label_diagnostic_only,,0.05,lowlight_s3,0.009999999999999998,0.1232953476546416,0.0732953476546416,0.1232953476546416
oracle_condition_crc,condition_label_diagnostic_only,,0.05,blur_s1,0.039999999999999994,0.04527468071763409,-0.004725319282365914,0.04527468071763409
oracle_condition_crc,condition_label_diagnostic_only,,0.05,blur_s2,0.009999999999999998,0.04516894096137734,-0.004831059038622666,0.04516894096137734
oracle_condition_crc,condition_label_diagnostic_only,,0.05,blur_s3,0.009999999999999998,0.06263070774707513,0.012630707747075129,0.06263070774707513
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260722.0,0.05,clean,0.013091976516634051,0.035576655130927705,-0.014423344869072298,0.035576655130927705
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260722.0,0.05,color_s1,0.015244618395303326,0.04110657376075007,-0.008893426239249935,0.04110657376075007
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260722.0,0.05,color_s2,0.02256360078277887,0.0431928483153276,-0.0068071516846723995,0.0431928483153276
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260722.0,0.05,color_s3,0.02937377690802349,0.04284817708743674,-0.007151822912563263,0.04284817708743674
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260722.0,0.05,turbidity_s1,0.013757338551859103,0.03894437778715606,-0.011055622212843945,0.03894437778715606
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260722.0,0.05,turbidity_s2,0.015362035225048925,0.035945768158533384,-0.014054231841466619,0.035945768158533384
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260722.0,0.05,turbidity_s3,0.01837573385518591,0.03953735815149727,-0.010462641848502735,0.03953735815149727
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260722.0,0.05,lowlight_s1,0.014031311154598826,0.03868713496806949,-0.011312865031930512,0.03868713496806949
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260722.0,0.05,lowlight_s2,0.012465753424657534,0.056021422817537636,0.006021422817537633,0.056021422817537636
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260722.0,0.05,lowlight_s3,0.011839530332681019,0.12475900738654976,0.07475900738654975,0.12475900738654976
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260722.0,0.05,blur_s1,0.013405088062622313,0.03498114747429948,-0.015018852525700524,0.03498114747429948
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260722.0,0.05,blur_s2,0.013405088062622313,0.04587342687076005,-0.0041265731292399535,0.04587342687076005
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260722.0,0.05,blur_s3,0.013405088062622313,0.06195098133721259,0.01195098133721259,0.06195098133721259
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260723.0,0.05,clean,0.013091976516634051,0.035576655130927705,-0.014423344869072298,0.035576655130927705
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260723.0,0.05,color_s1,0.015166340508806261,0.04110657376075007,-0.008893426239249935,0.04110657376075007
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260723.0,0.05,color_s2,0.022524461839530337,0.0431928483153276,-0.0068071516846723995,0.0431928483153276
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260723.0,0.05,color_s3,0.029334637964774958,0.04284817708743674,-0.007151822912563263,0.04284817708743674
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260723.0,0.05,turbidity_s1,0.013757338551859103,0.03894437778715606,-0.011055622212843945,0.03894437778715606
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260723.0,0.05,turbidity_s2,0.015362035225048925,0.035945768158533384,-0.014054231841466619,0.035945768158533384
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260723.0,0.05,turbidity_s3,0.018414872798434442,0.03953735815149727,-0.010462641848502735,0.03953735815149727
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260723.0,0.05,lowlight_s1,0.014031311154598826,0.03868713496806949,-0.011312865031930512,0.03868713496806949
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260723.0,0.05,lowlight_s2,0.012465753424657534,0.056021422817537636,0.006021422817537633,0.056021422817537636
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260723.0,0.05,lowlight_s3,0.011839530332681019,0.12475900738654976,0.07475900738654975,0.12475900738654976
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260723.0,0.05,blur_s1,0.013405088062622313,0.03498114747429948,-0.015018852525700524,0.03498114747429948
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260723.0,0.05,blur_s2,0.013405088062622313,0.04587342687076005,-0.0041265731292399535,0.04587342687076005
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260723.0,0.05,blur_s3,0.013444227005870843,0.06195098133721259,0.01195098133721259,0.06195098133721259
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260724.0,0.05,clean,0.013091976516634051,0.035576655130927705,-0.014423344869072298,0.035576655130927705
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260724.0,0.05,color_s1,0.0150880626223092,0.040722615773554474,-0.009277384226445529,0.040722615773554474
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260724.0,0.05,color_s2,0.022446183953033272,0.0431928483153276,-0.0068071516846723995,0.0431928483153276
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260724.0,0.05,color_s3,0.029334637964774958,0.04284817708743674,-0.007151822912563263,0.04284817708743674
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260724.0,0.05,turbidity_s1,0.013757338551859103,0.03894437778715606,-0.011055622212843945,0.03894437778715606
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260724.0,0.05,turbidity_s2,0.015362035225048925,0.035945768158533384,-0.014054231841466619,0.035945768158533384
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260724.0,0.05,turbidity_s3,0.01829745596868885,0.03975258049247112,-0.01024741950752888,0.03975258049247112
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260724.0,0.05,lowlight_s1,0.014031311154598826,0.03868713496806949,-0.011312865031930512,0.03868713496806949
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260724.0,0.05,lowlight_s2,0.012465753424657534,0.056021422817537636,0.006021422817537633,0.056021422817537636
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260724.0,0.05,lowlight_s3,0.011839530332681019,0.12475900738654976,0.07475900738654975,0.12475900738654976
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260724.0,0.05,blur_s1,0.013405088062622313,0.03498114747429948,-0.015018852525700524,0.03498114747429948
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260724.0,0.05,blur_s2,0.013405088062622313,0.04587342687076005,-0.0041265731292399535,0.04587342687076005
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260724.0,0.05,blur_s3,0.013365949119373778,0.06195098133721259,0.01195098133721259,0.06195098133721259
