score,region,degradation_type,severity,boundary_radius,pixels,error_rate,error_auroc,error_auprc,aurc,oracle_aurc,eaurc,unique_score_count,tie_group_count,largest_tie_group,tied_pixel_fraction,sort_seconds,metric_seconds,risk_at_90_coverage,risk_at_80_coverage,risk_at_70_coverage,top_5_uncertainty_precision,top_5_uncertainty_recall,top_10_uncertainty_precision,top_10_uncertainty_recall,top_20_uncertainty_precision,top_20_uncertainty_recall,peak_process_rss_mb
calibrated_msp,boundary,blur,1,3.0,2127005.0,0.37111384317385243,0.6070327682056289,0.47636460545073767,0.3173491637181868,0.0794332807178674,0.23791588300031938,1863804.0,236823.0,7.0,0.23508360347060772,2.515957999974489,0.4274799000704661,0.35069228780157813,0.33345184896133295,0.31732133166409654,0.5823264473300674,0.07845713178127625,0.5549104141494399,0.14952600901235302,0.5217618200239303,0.28118693474848644,3409.7734375
calibrated_msp,boundary,blur,2,3.0,2127005.0,0.38652142331588313,0.5981910475451853,0.4910615405547332,0.33850290716524095,0.08676969567198534,0.2517332114932556,1868104.0,233409.0,7.0,0.23145690771765934,1.9294711999827996,0.4102528999792412,0.3649909497180439,0.34875505699328396,0.33447421727660076,0.6172203364331318,0.07984352896672436,0.5802934635944353,0.1501326427719116,0.5375868886062797,0.2781666713293348,3409.7734375
calibrated_msp,boundary,blur,3,3.0,2127005.0,0.4128546947468389,0.5906434361901358,0.5173288783274015,0.36769067784032133,0.10020982992518057,0.26748084791514076,1869566.0,232358.0,6.0,0.23027543423734312,1.9799201999558136,0.3761020000092685,0.3904842749718566,0.374058829198803,0.3602522392310048,0.6551889497983093,0.07934917280081627,0.6141908124550425,0.1487671725821733,0.5680381569389823,0.2751758253771591,3409.7734375
calibrated_msp,boundary,clean,0,3.0,2127005.0,0.3685548458983406,0.6109431939176981,0.4792479669694963,0.3126199888712455,0.0782516042648374,0.234368384606408,1863212.0,237223.0,8.0,0.2355499869534862,1.4836272000102326,0.2619041000725701,0.3468266551045941,0.3288544220629477,0.3122739948310972,0.5939859521772245,0.0805836834975086,0.5641064216905421,0.1530593761082154,0.5273565412399125,0.2861753397676798,3369.38671875
calibrated_msp,boundary,color_attenuation,1,3.0,2127005.0,0.3687184562330601,0.6151795201423921,0.4834068107924553,0.30943521782853156,0.07832684436376249,0.2311083734647691,1863445.0,236967.0,6.0,0.23532008622452696,1.469421400106512,0.2640436999499798,0.34678381971524913,0.3282430381373496,0.3107883382676116,0.5970747806790722,0.08096678932913068,0.5661327403256214,0.15354101797094352,0.5306201286159021,0.28781858876112615,3377.16796875
calibrated_msp,boundary,color_attenuation,2,3.0,2127005.0,0.3710296872832927,0.6156918137853453,0.4873575323593444,0.31120610437074336,0.07939425442308073,0.23181184994766263,1864414.0,236070.0,8.0,0.23444279632628978,1.4452896999428049,0.262359100044705,0.3488292095564709,0.33045203231774256,0.31277704942696105,0.6078081071169994,0.08190886259443322,0.5708341756738332,0.15385170974502713,0.5333403071454933,0.2874919853721955,3389.7734375
calibrated_msp,boundary,color_attenuation,3,3.0,2127005.0,0.376559528538955,0.6137777476401728,0.4902658079084089,0.3168614512884885,0.08198266311838691,0.2348787881701016,1865436.0,235372.0,6.0,0.23363414754549236,2.3276333999820054,0.43970500002615154,0.35488911119179023,0.3362262900181241,0.3189493748421658,0.6062754463991876,0.0805025070416908,0.5715958082002436,0.15179463233384607,0.5378924826222787,0.2856878882918157,3395.7265625
calibrated_msp,boundary,lowlight,1,3.0,2127005.0,0.3706681460551339,0.6171505019293131,0.4889346336402042,0.3096747110840049,0.07922672205004251,0.2304479890339624,1862701.0,237433.0,6.0,0.23588896123892517,2.3678993000648916,0.4786764000309631,0.34760996810853023,0.3295014586237456,0.3123378001536701,0.6140703895591014,0.08283348955433256,0.5781919219937847,0.15598677342966186,0.5353348957806869,0.28884861107059373,3398.3359375
calibrated_msp,boundary,lowlight,2,3.0,2127005.0,0.38339778232773314,0.6154745697212933,0.5000727172500525,0.322537040971585,0.08525139248968168,0.2372856484819033,1862278.0,237566.0,6.0,0.23615036165876432,2.1869395000394434,0.41267140000127256,0.36078994726545666,0.3424151565229043,0.3249477467989877,0.6177562975430414,0.08056393157970249,0.5868707716465837,0.1530713473756237,0.5473282855470486,0.28551458082205894,3398.3359375
calibrated_msp,boundary,lowlight,3,3.0,2127005.0,0.444047851321459,0.600089491318429,0.5445227131782535,0.3907191033705409,0.11766332665131585,0.27305577671922504,1872062.0,229925.0,7.0,0.22795809130679054,2.4580464999889955,0.4378838000120595,0.4235145392191944,0.4068537685618981,0.39095200227818583,0.6515030418143694,0.07336007081055212,0.6288498878707669,0.1416179279443341,0.5928241823597029,0.2670091435395959,3398.3359375
calibrated_msp,boundary,turbidity,1,3.0,2127005.0,0.3680071273927424,0.6152076713046992,0.48200150004790754,0.30923502492026456,0.07800003134165231,0.23123499357861224,1863222.0,237086.0,6.0,0.23548087569140647,2.365833800053224,0.4641128999646753,0.3460065141134772,0.32751098375415194,0.3103430442795506,0.596158005096332,0.08099873140058231,0.5660105030065679,0.15380458458798624,0.529991701947104,0.2880333898432839,3398.3359375
calibrated_msp,boundary,turbidity,2,3.0,2127005.0,0.37007388323017576,0.6187049956918833,0.48673821283061686,0.3086976979077036,0.07895180145885619,0.22974589644884744,1862555.0,237669.0,6.0,0.23606855649140457,2.367990899947472,0.4512213999405503,0.347727243046432,0.32935688914694605,0.3114969131656574,0.601921937734483,0.08132513666408774,0.5711938354779714,0.15434625464810348,0.5329418595630946,0.28801916790849,3398.3359375
calibrated_msp,boundary,turbidity,3,3.0,2127005.0,0.3788077602074278,0.6089870105797466,0.48730760989465927,0.3243384546983888,0.08304901569622172,0.24128943900216707,1864194.0,236731.0,6.0,0.23485699375412847,2.2950045000761747,0.43427780002821237,0.35725968432407584,0.33935745332051404,0.32296105054456165,0.5960545740049459,0.07867562918411469,0.572738256989859,0.1511953195006739,0.5366089877550828,0.2833146752121689,3398.3359375
calibrated_msp,full,blur,1,3.0,21528576.0,0.14579510507336854,0.7871895860492119,0.39373483287883104,0.0579550470331555,0.011185918467956744,0.046769128565198756,5820142.0,3314311.0,56.0,0.8836044241848602,2.515957999974489,1.3041198999853805,0.10960181658290978,0.08445344823952304,0.0675614286499194,0.516618374272711,0.17717277613682597,0.47153481558003363,0.32342300034950094,0.3911616558082326,0.5365910306646476,3409.7734375
calibrated_msp,full,blur,2,3.0,21528576.0,0.1497262986646214,0.7870370205144563,0.3960870323512297,0.058297206213169445,0.011814472340263676,0.04648273387290577,5804795.0,3263196.0,59.0,0.8819430044978358,1.9294711999827996,1.2126400000415742,0.11420494898795755,0.08879070672404545,0.07191371681122315,0.5125512226073433,0.17116275577853654,0.46941879120685154,0.31351798756217825,0.3934688214457247,0.5255842134098406,3409.7734375
calibrated_msp,full,blur,3,3.0,21528576.0,0.16917282406416476,0.7853376153192836,0.42446359785090426,0.0661952821387771,0.015192734801729132,0.05100254733704796,5934612.0,3309644.0,55.0,0.8780705235683028,1.9799201999558136,1.2513810000382364,0.1324389045898116,0.10389783671830133,0.08432828993719356,0.5446462330539218,0.16097335291937234,0.49977843406299904,0.2954248294229898,0.43027292092650793,0.508678628794223,3409.7734375
calibrated_msp,full,clean,0,3.0,21528576.0,0.1432985628032249,0.7866325763932398,0.3904408683740258,0.0565798527755954,0.0107961475872031,0.0457837051883923,5872331.0,3360905.0,55.0,0.8833445370469464,1.4836272000102326,0.8265635999850929,0.1076680302805795,0.0819182713023115,0.0653177663390135,0.5126636313217128,0.1788795772077533,0.4639734715434088,0.3237810266015,0.3888196527592623,0.5426707950109789,3369.38671875
calibrated_msp,full,color_attenuation,1,3.0,21528576.0,0.1454922982365392,0.7868461663539664,0.39325007508987586,0.056768794230898395,0.011138254562409643,0.04563053966848875,5933983.0,3405850.0,52.0,0.8825684987246718,1.469421400106512,0.8699638000689447,0.10937183802056584,0.08402982524215924,0.06625532415253506,0.5114407607623601,0.17576217503841227,0.47057678676438486,0.32343765264625146,0.3913423458490992,0.5379561987866838,3377.16796875
calibrated_msp,full,color_attenuation,2,3.0,21528576.0,0.15001071134477265,0.789670154964597,0.4093659667076932,0.05806418101824124,0.011860650790669216,0.04620353022757202,6019419.0,3478171.0,53.0,0.8819593084094368,1.4452896999428049,0.852123299962841,0.11227810436350776,0.08499769579514112,0.06725442806783595,0.527446151425996,0.1758028625745997,0.4896045164149238,0.32637976514754374,0.410062809530401,0.5467114741925805,3389.7734375
calibrated_msp,full,color_attenuation,3,3.0,21528576.0,0.15297811615594084,0.7883130586471717,0.4121701701050124,0.05935078650720455,0.012348133442495024,0.04700265306470953,6156068.0,3587933.0,51.0,0.8807104102008418,2.3276333999820054,1.5918285000370815,0.11586572176581765,0.08705308601166786,0.06969490519046975,0.5264917611844349,0.1720807760731232,0.48698969772584466,0.3183395118501107,0.4166782017206894,0.5447554063413474,3395.7265625
calibrated_msp,full,lowlight,1,3.0,21528576.0,0.1494818793402778,0.7967389481363112,0.4122335818644192,0.05649801420810335,0.011774863391035745,0.04472315081706761,6006704.0,3475494.0,51.0,0.8824255724112918,2.3678993000648916,1.490549199981615,0.1121558379330336,0.08451377503424083,0.06504616720738761,0.5320666760185763,0.17797032564232915,0.48541613055761224,0.3247324845593655,0.4093544488303455,0.5476978570176736,3398.3359375
calibrated_msp,full,lowlight,2,3.0,21528576.0,0.16483277853584,0.7959495163353251,0.4343460827759035,0.06430023690318888,0.014399695074838648,0.049900541828350235,6230163.0,3674325.0,49.0,0.881281604505565,2.1869395000394434,1.342241600039415,0.12643200492327536,0.09471494505665076,0.07305034557389634,0.5475521376700182,0.1660932504653224,0.5104397658058885,0.3096713318670336,0.4453041801487449,0.5403103276442593,3398.3359375
