condition,class_id,class_name,clean_global,raw,classwise_ece_delta_clean_minus_raw
blur_s1,0,background_waterbody,0.018255849449393,0.0256279906528382,-0.0073721412034452
blur_s1,1,human_divers,0.00515973273463,0.0014357868251723,0.0037239459094577003
blur_s1,2,aquatic_plants,0.0097614031166655,0.021832195749782,-0.012070792633116499
blur_s1,3,wrecks_ruins,0.0065082011488338,0.0162175632298942,-0.0097093620810604
blur_s1,4,robots_instruments,0.0020121617522483,0.0013803105531283,0.0006318511991199999
blur_s1,5,reefs_invertebrates,0.0150381885936747,0.0611603220111887,-0.046122133417514
blur_s1,6,fish_vertebrates,0.0177969972397751,0.0138757361883219,0.003921261051453202
blur_s1,7,seafloor_rocks,0.0168999225785931,0.0466358519124572,-0.0297359293338641
blur_s2,0,background_waterbody,0.017134290520432,0.0247367691298091,-0.0076024786093771
blur_s2,1,human_divers,0.0052622420869674,0.0015509400682179,0.0037113020187495
blur_s2,2,aquatic_plants,0.0111109872300957,0.0235461620072665,-0.012435174777170798
blur_s2,3,wrecks_ruins,0.0123976784573059,0.0178061794008669,-0.005408500943561
blur_s2,4,robots_instruments,0.0014045410298366,0.0015928078839899,-0.00018826685415330004
blur_s2,5,reefs_invertebrates,0.0170343753844896,0.0648312623877662,-0.0477968870032766
blur_s2,6,fish_vertebrates,0.0133335256006603,0.0122567060234927,0.0010768195771675999
blur_s2,7,seafloor_rocks,0.0165089397969204,0.0471407928772894,-0.030631853080369
blur_s3,0,background_waterbody,0.0140261827391122,0.0297958593570331,-0.0157696766179209
blur_s3,1,human_divers,0.0065437404847826,0.0025316389383618,0.0040121015464208
blur_s3,2,aquatic_plants,0.0100558451970394,0.0223328347729616,-0.0122769895759222
blur_s3,3,wrecks_ruins,0.0146799469663466,0.0212666220431358,-0.0065866750767892
blur_s3,4,robots_instruments,0.0014747174133354,0.001999424199583,-0.0005247067862476
blur_s3,5,reefs_invertebrates,0.0223614161800808,0.0770471445065065,-0.0546857283264257
blur_s3,6,fish_vertebrates,0.0127602356529744,0.0203067835249512,-0.007546547871976799
blur_s3,7,seafloor_rocks,0.0183117663072453,0.0527271721890384,-0.0344154058817931
clean,0,background_waterbody,0.0192851403163238,0.0261221031299182,-0.006836962813594399
clean,1,human_divers,0.005482382975063,0.0012605465229446,0.0042218364521184
clean,2,aquatic_plants,0.0076458267213559,0.0214924580774397,-0.0138466313560838
clean,3,wrecks_ruins,0.0088211667555598,0.0156237283695862,-0.0068025616140263995
clean,4,robots_instruments,0.0021867730002672,0.0012190399284728,0.0009677330717943998
clean,5,reefs_invertebrates,0.0186809402737409,0.0577781778125617,-0.0390972375388208
clean,6,fish_vertebrates,0.0184824453634097,0.0135662178009919,0.0049162275624177985
clean,7,seafloor_rocks,0.0171446362758835,0.0457418553217406,-0.028597219045857096
color_s1,0,background_waterbody,0.0191202957126509,0.0251637470020818,-0.006043451289430901
color_s1,1,human_divers,0.005424675750616,0.0014724841579611,0.0039521915926549
color_s1,2,aquatic_plants,0.0079350223064158,0.0225125614952643,-0.014577539188848498
color_s1,3,wrecks_ruins,0.0067814636467848,0.0175278467230335,-0.0107463830762487
color_s1,4,robots_instruments,0.0022062602268955,0.0012916735834432,0.0009145866434523001
color_s1,5,reefs_invertebrates,0.0192717694043186,0.056010389221404,-0.0367386198170854
color_s1,6,fish_vertebrates,0.0185019550177344,0.0130655175420393,0.005436437475695102
color_s1,7,seafloor_rocks,0.018948120270665,0.0474663842598914,-0.0285182639892264
color_s2,0,background_waterbody,0.0172881796981578,0.0246885317466829,-0.0074003520485250995
color_s2,1,human_divers,0.0055278720162029,0.0016200803138421,0.0039077917023608
color_s2,2,aquatic_plants,0.0112198510365381,0.0245890795094805,-0.0133692284729424
color_s2,3,wrecks_ruins,0.008391955591286,0.0187611209062411,-0.010369165314955098
color_s2,4,robots_instruments,0.0022242141159653,0.0013330284728719,0.0008911856430933998
color_s2,5,reefs_invertebrates,0.0264759920335915,0.0593066849779077,-0.032830692944316196
color_s2,6,fish_vertebrates,0.0188652440514352,0.0112977960224861,0.007567448028949099
color_s2,7,seafloor_rocks,0.0201628572072729,0.0482995642549079,-0.028136707047634997
color_s3,0,background_waterbody,0.0164171398306886,0.0237745811021284,-0.0073574412714398005
color_s3,1,human_divers,0.0058116501577263,0.0018308098920174,0.0039808402657089
