condition,method,region,boundary_radius,region_pixel_fraction,pixels,error_rate,nll,brier_score,ece,error_auroc,aurc,oracle_aurc,eaurc,mean_confidence,mean_wrong_confidence
clean,raw,boundary,3,0.09294408112667156,7003338,0.41497397383933204,1.5159015796065747,0.6247918300151121,0.21139347047749668,0.5908985823602331,0.36573388478300384,0.10134213924992064,0.2643917455330832,0.7964194416999817,0.7636504769325256
clean,raw,interior,3,0.9070559188733285,68346678,0.18821994537905704,0.9035249128736915,0.3083836549485898,0.11093901432911128,0.7698572247416821,0.08154871124377128,0.01894282418009522,0.06260588706367606,0.9227128028869629,0.8208553791046143
clean,clean_global,boundary,3,0.09294408112667156,7003338,0.41497397383933204,1.0669560743078872,0.5617279030571743,0.05553510274038322,0.5931433489970411,0.3643221578936173,0.10134213924992064,0.2629800186436967,0.6045340895652771,0.5789481997489929
clean,clean_global,interior,3,0.9070559188733285,68346678,0.18821994537905704,0.6077116520800396,0.2887734420821082,0.027791976695641513,0.7682831846134495,0.08179241006844701,0.01894282418009522,0.0628495858883518,0.7893456220626831,0.6485728621482849
color_s1,raw,boundary,3,0.09294408112667156,7003338,0.41854498526274186,1.5342582535508424,0.629414444745179,0.21431923496654137,0.5901927532337508,0.3692314855778994,0.10326747571006717,0.26596400986783225,0.7957742214202881,0.7634502649307251
color_s1,raw,interior,3,0.9070559188733285,68346678,0.18973170868670458,0.926465004714183,0.31144131801864056,0.11190168484005683,0.7647831792881671,0.08380633663799791,0.019259474439425873,0.06454686219857204,0.9221699237823486,0.8217796683311462
color_s1,clean_global,boundary,3,0.09294408112667156,7003338,0.41854498526274186,1.072581259085846,0.5647268634669729,0.05382309066027659,0.5924766607585561,0.367885699312982,0.10326747571006717,0.2646182236029148,0.6055428385734558,0.5802561640739441
color_s1,clean_global,interior,3,0.9070559188733285,68346678,0.18973170868670458,0.6167435074761425,0.2922101585285718,0.02850629640450029,0.76314440993107,0.08438334637332977,0.019259474439425873,0.0651238719339039,0.7895682454109192,0.6516166925430298
color_s2,raw,boundary,3,0.09294408112667156,7003338,0.42387487223949494,1.5780168269737052,0.6406491047164313,0.22078366389681403,0.583673697808336,0.37796688414105545,0.1061819590261803,0.2717849251148752,0.7969088554382324,0.7669500708580017
color_s2,raw,interior,3,0.9070559188733285,68346678,0.19576901747880124,0.9780499186144607,0.32270814144969306,0.11843400664119395,0.7554088755632823,0.09013410849552225,0.02055221106959459,0.06958189742592766,0.922664999961853,0.8268007636070251
color_s2,clean_global,boundary,3,0.09294408112667156,7003338,0.42387487223949494,1.0875737995179942,0.5720983258715344,0.05715961264343685,0.5870203628489995,0.3760291142707708,0.1061819590261803,0.26984715524459046,0.6080323457717896,0.5842320322990417
color_s2,clean_global,interior,3,0.9070559188733285,68346678,0.19576901747880124,0.6370763664804601,0.3015338580743639,0.026908388385406046,0.7542783245595797,0.09048213195262456,0.02055221106959459,0.06992992088302996,0.7905595898628235,0.6592445373535156
color_s3,raw,boundary,3,0.09294408112667156,7003338,0.43569694908342277,1.6648419723320687,0.6628400416433563,0.23612903851326034,0.5807610065181245,0.3905916092037891,0.1128231443314092,0.2777684648723799,0.8004320859909058,0.7719351053237915
color_s3,raw,interior,3,0.9070559188733285,68346678,0.20474338196803069,1.0538793250904235,0.34087856266218236,0.1278767918354623,0.7462200464742513,0.09844701842901502,0.02255770421706601,0.075889314211949,0.9231333136558533,0.8338872194290161
color_s3,clean_global,boundary,3,0.09294408112667156,7003338,0.43569694908342277,1.1208078606587315,0.5857976556924533,0.05911416442038578,0.5862696270737341,0.38742209942267336,0.1128231443314092,0.27459895509126414,0.6114811301231384,0.5877401232719421
color_s3,clean_global,interior,3,0.9070559188733285,68346678,0.20474338196803069,0.6692164396874564,0.3151632011173791,0.025873211810026425,0.7470178893221392,0.09818431475516158,0.02255770421706601,0.07562661053809558,0.7906314134597778,0.6649274826049805
turbidity_s1,raw,boundary,3,0.09294408112667156,7003338,0.41458058999865494,1.5179362248848336,0.6232118253600997,0.20992755021404264,0.5921325616054068,0.36473791205103684,0.10113137881867514,0.2636065332323617,0.7953470349311829,0.7620385885238647
turbidity_s1,raw,interior,3,0.9070559188733285,68346678,0.1883864787107868,0.910428253778845,0.30914106668660984,0.11018328445459974,0.7670674125362059,0.08224095881199983,0.01897756776666396,0.06326339104533588,0.9217879772186279,0.8200074434280396
turbidity_s1,clean_global,boundary,3,0.09294408112667156,7003338,0.41458058999865494,1.0685443568235782,0.5613678652013868,0.055304338285448625,0.5944186724322271,0.36325245813661805,0.10113137881867514,0.26212107931794293,0.6039559245109558,0.5779576897621155
turbidity_s1,clean_global,interior,3,0.9070559188733285,68346678,0.1883864787107868,0.611343477508702,0.29026835203085877,0.028789502064420838,0.7653113187474462,0.08273914512869189,0.01897756776666396,0.06376157736202794,0.7887992262840271,0.6486659049987793
turbidity_s2,raw,boundary,3,0.09294408112667156,7003338,0.41748691838092067,1.548194136027527,0.6270536657840875,0.21303323137347088,0.5926853997693361,0.36764380830356436,0.1026947310102134,0.26494907729335093,0.7955463528633118,0.7619543671607971
turbidity_s2,raw,interior,3,0.9070559188733285,68346678,0.19222332942063403,0.945509048563871,0.31516978719781374,0.11214751238783671,0.7625365522499264,0.08560000616800971,0.019787521052610973,0.06581248511539874,0.9199241399765015,0.8181543946266174
turbidity_s2,clean_global,boundary,3,0.09294408112667156,7003338,0.41748691838092067,1.0804829339171014,0.5645901799010878,0.05431546585455803,0.5955521652511988,0.36592214958750646,0.1026947310102134,0.26322741857729304,0.6050208210945129,0.5785943269729614
turbidity_s2,clean_global,interior,3,0.9070559188733285,68346678,0.19222332942063403,0.6283649115094885,0.2969321975952511,0.030098181755244348,0.7602414355193283,0.08639813745763883,0.019787521052610973,0.06661061640502786,0.7868959903717041,0.6489981412887573
turbidity_s3,raw,boundary,3,0.09294408112667156,7003338,0.4292444545729479,1.6463655011612854,0.6491538449292412,0.2303724629659175,0.5879170715320104,0.3814158872824973,0.10916801079794933,0.27224787648454796,0.8011196851730347,0.769805908203125
turbidity_s3,raw,interior,3,0.9070559188733285,68346678,0.20609638115842294,1.0340843293025521,0.33707215923615375,0.12262759478684158,0.7607115880714556,0.09436816442155155,0.022868814985357047,0.0714993494361945,0.9165312051773071,0.8177640438079834
turbidity_s3,clean_global,boundary,3,0.09294408112667156,7003338,0.4292444545729479,1.1172149001594847,0.5782464472488422,0.05464208977677845,0.5925079062125951,0.3789688672958298,0.10916801079794933,0.26980085649788044,0.6102114319801331,0.5845139026641846
turbidity_s3,clean_global,interior,3,0.9070559188733285,68346678,0.20609638115842294,0.6707677990353459,0.314390165648852,0.02548433477207367,0.7584759514279382,0.0952975395882305,0.022868814985357047,0.07242872460287346,0.7822961807250977,0.6471859812736511
lowlight_s1,raw,boundary,3,0.09294408112667156,7003338,0.41572418752314966,1.525448057713247,0.6265333483319847,0.21293862952022213,0.5894450636995161,0.36712594108768226,0.10174480924084119,0.2653811318468411,0.7972143888473511,0.7650248408317566
lowlight_s1,raw,interior,3,0.9070559188733285,68346678,0.18963372294407638,0.903115572671835,0.31031020029742706,0.11175743433404771,0.7699384652351045,0.08167468261059072,0.01923886515699454,0.06243581745359618,0.9221236705780029,0.8211709856987
lowlight_s1,clean_global,boundary,3,0.09294408112667156,7003338,0.41572418752314966,1.070129568537978,0.562697235466948,0.056359657873260374,0.5921815151084767,0.3655736281744112,0.10174480924084119,0.26382881893357,0.6055619716644287,0.5801605582237244
lowlight_s1,clean_global,interior,3,0.9070559188733285,68346678,0.18963372294407638,0.6091429058053487,0.2899692409314137,0.02801440748144892,0.7687837546671887,0.08217563360743552,0.01923886515699454,0.06293676845044098,0.7882964015007019,0.646897554397583
