condition,method,reference,metric,delta_candidate_minus_clean_global
color_s2,pooled,clean_global,mean_wrong_confidence,-0.010824859142303467
color_s3,pooled,clean_global,nll,0.0025592710329517265
color_s3,pooled,clean_global,ece,0.005407175688159099
color_s3,pooled,clean_global,brier_score,0.0009896659052716916
color_s3,pooled,clean_global,aurc,0.00013907314173110252
color_s3,pooled,clean_global,error_auroc,-0.0005644722050980322
color_s3,pooled,clean_global,mean_wrong_confidence,-0.010802388191223145
turbidity_s1,pooled,clean_global,nll,0.0013985924161914465
turbidity_s1,pooled,clean_global,ece,0.004309603321052898
turbidity_s1,pooled,clean_global,brier_score,0.0008122823009752977
turbidity_s1,pooled,clean_global,aurc,0.0001207308480497965
turbidity_s1,pooled,clean_global,error_auroc,-0.0005698129240311323
turbidity_s1,pooled,clean_global,mean_wrong_confidence,-0.010981976985931396
turbidity_s2,pooled,clean_global,nll,0.0017793741037493982
turbidity_s2,pooled,clean_global,ece,0.005296155839570698
turbidity_s2,pooled,clean_global,brier_score,0.0007925120662881091
turbidity_s2,pooled,clean_global,aurc,0.00013777673154139608
turbidity_s2,pooled,clean_global,error_auroc,-0.0005621478539511449
turbidity_s2,pooled,clean_global,mean_wrong_confidence,-0.010997116565704346
turbidity_s3,pooled,clean_global,nll,0.0015389886620926774
turbidity_s3,pooled,clean_global,ece,0.002451810097517902
turbidity_s3,pooled,clean_global,brier_score,0.000607156499517203
turbidity_s3,pooled,clean_global,aurc,0.00014908110945130448
turbidity_s3,pooled,clean_global,error_auroc,-0.0004120658266121291
turbidity_s3,pooled,clean_global,mean_wrong_confidence,-0.011028289794921875
lowlight_s1,pooled,clean_global,nll,0.0017325355582040736
lowlight_s1,pooled,clean_global,ece,0.006217937381802201
lowlight_s1,pooled,clean_global,brier_score,0.0007803137081034972
lowlight_s1,pooled,clean_global,aurc,0.00010546021803189976
lowlight_s1,pooled,clean_global,error_auroc,-0.0004846332787254992
lowlight_s1,pooled,clean_global,mean_wrong_confidence,-0.011041462421417236
lowlight_s2,pooled,clean_global,nll,0.001800790043544942
lowlight_s2,pooled,clean_global,ece,0.005812059952372703
lowlight_s2,pooled,clean_global,brier_score,0.000629548975684624
lowlight_s2,pooled,clean_global,aurc,0.0001399263019944974
lowlight_s2,pooled,clean_global,error_auroc,-0.0004886254217226771
lowlight_s2,pooled,clean_global,mean_wrong_confidence,-0.011094272136688232
lowlight_s3,pooled,clean_global,nll,-0.004784851495170939
lowlight_s3,pooled,clean_global,ece,-0.006583952056508496
lowlight_s3,pooled,clean_global,brier_score,-0.0006890349555050967
lowlight_s3,pooled,clean_global,aurc,0.00021778321033689985
lowlight_s3,pooled,clean_global,error_auroc,-0.0004638315576834806
lowlight_s3,pooled,clean_global,mean_wrong_confidence,-0.011060714721679688
blur_s1,pooled,clean_global,nll,0.0009854649118454795
blur_s1,pooled,clean_global,ece,0.002262659265288399
blur_s1,pooled,clean_global,brier_score,0.0006222176043773064
blur_s1,pooled,clean_global,aurc,0.00011182959393440245
blur_s1,pooled,clean_global,error_auroc,-0.0005333172073976877
blur_s1,pooled,clean_global,mean_wrong_confidence,-0.011023879051208496
blur_s2,pooled,clean_global,nll,0.0006456255368446628
blur_s2,pooled,clean_global,ece,-0.0006773099262505008
blur_s2,pooled,clean_global,brier_score,0.00044314066569020594
blur_s2,pooled,clean_global,aurc,0.00010703176908619799
blur_s2,pooled,clean_global,error_auroc,-0.000520380391795694
blur_s2,pooled,clean_global,mean_wrong_confidence,-0.011066615581512451
blur_s3,pooled,clean_global,nll,-0.0007244448320687935
blur_s3,pooled,clean_global,ece,-0.0025720659912447028
blur_s3,pooled,clean_global,brier_score,-1.0188856081339015e-05
blur_s3,pooled,clean_global,aurc,0.0001280689587321998
blur_s3,pooled,clean_global,error_auroc,-0.0004063504392963768
blur_s3,pooled,clean_global,mean_wrong_confidence,-0.011181831359863281
clean,per_degradation,clean_global,nll,0.0
clean,per_degradation,clean_global,ece,0.0
clean,per_degradation,clean_global,brier_score,0.0
clean,per_degradation,clean_global,aurc,0.0
clean,per_degradation,clean_global,error_auroc,0.0
clean,per_degradation,clean_global,mean_wrong_confidence,0.0
color_s1,per_degradation,clean_global,nll,-7.392826689972543e-05
