region,score,baseline,metric,direction,mean_improvement,ci95_low,ci95_high,iterations,cluster_unit,images
full,logit_margin,calibrated_msp,error_auprc,positive_is_better,-0.0029720254516468745,-0.006949004043194272,0.0008003242676618623,1000,sample_id_with_all_13_conditions,146
full,logit_margin,calibrated_msp,top_10_uncertainty_recall,positive_is_better,0.00018789765548755849,-0.002942688055652132,0.0036062427363915944,1000,sample_id_with_all_13_conditions,146
full,energy,calibrated_msp,eaurc,positive_is_better,-0.013145559943105664,-0.01816005353959188,-0.008806362076498235,1000,sample_id_with_all_13_conditions,146
full,energy,calibrated_msp,error_auprc,positive_is_better,-0.09101108313593756,-0.10188993322499755,-0.0809209490078762,1000,sample_id_with_all_13_conditions,146
full,energy,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.10104863024749168,-0.11617972427396135,-0.0872508345034079,1000,sample_id_with_all_13_conditions,146
full,local_disagreement,calibrated_msp,eaurc,positive_is_better,-0.07993072511646004,-0.08766553881026362,-0.0728992274367329,1000,sample_id_with_all_13_conditions,146
full,local_disagreement,calibrated_msp,error_auprc,positive_is_better,-0.21394636841405837,-0.2269447088214828,-0.20108264411000162,1000,sample_id_with_all_13_conditions,146
full,local_disagreement,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.2176225800194279,-0.24141326448065142,-0.191706246162588,1000,sample_id_with_all_13_conditions,146
interior,raw_msp,calibrated_msp,eaurc,positive_is_better,0.0011164770031750067,0.0004840394510909644,0.0018080289379944236,1000,sample_id_with_all_13_conditions,146
interior,raw_msp,calibrated_msp,error_auprc,positive_is_better,0.013670664518874847,0.009780708551648434,0.017546044070228913,1000,sample_id_with_all_13_conditions,146
interior,raw_msp,calibrated_msp,top_10_uncertainty_recall,positive_is_better,0.009020612468529376,0.005703059234423829,0.012914048994338238,1000,sample_id_with_all_13_conditions,146
interior,calibrated_msp,calibrated_msp,eaurc,positive_is_better,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
interior,calibrated_msp,calibrated_msp,error_auprc,positive_is_better,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
