split,condition,degradation_type,severity,boundary_radius,score,region,pixels,error_rate,error_auroc,error_auprc,aurc,oracle_aurc,eaurc,unique_score_count,tie_group_count,largest_tie_group,tied_pixel_fraction,score_dtype,sort_seconds,metric_seconds,risk_at_90_coverage,risk_at_80_coverage,risk_at_70_coverage,top_5_uncertainty_precision,top_5_uncertainty_recall,top_10_uncertainty_precision,top_10_uncertainty_recall,top_20_uncertainty_precision,top_20_uncertainty_recall,peak_process_rss_mb
confirmation,clean,clean,0,3,raw_msp,full,75350016.0,0.2092953901960684,0.7646053609754984,0.4428654507832527,0.0933854890493208,0.0236135783824398,0.0697719106668809,7196364.0,5769662.0,416818.0,0.9810656709084176,float32,9.234664599993266,1.2543821000726894,0.1744985531596505,0.1454380845106984,0.1190984656520696,0.55849797164398,0.133423388056701,0.5224668818933292,0.2496313507618793,0.4647246443995635,0.4440849544124119,4761.6640625
confirmation,clean,clean,0,3,raw_msp,boundary,7003338.0,0.414973973839332,0.5908985823602331,0.504945940349015,0.3657530239926333,0.1013421392499208,0.2644108847427124,3922416.0,1542970.0,1570.0,0.6602411592871856,float32,9.234664599993266,0.5796619000611827,0.397275505889651,0.3825866269855931,0.3687121060832823,0.6046886200013136,0.0728586406386615,0.5742602815228163,0.138384689576055,0.5445233988354128,0.2624374484507792,4761.6640625
confirmation,clean,clean,0,3,raw_msp,interior,68346678.0,0.188219945379057,0.769857224741682,0.4265611540258665,0.0814222150933753,0.0189428241800958,0.0624793909132794,6778360.0,5056226.0,415248.0,0.97480295969908,float32,9.234664599993266,0.959551400039345,0.1527923453611593,0.1247828678629586,0.1006827651777414,0.5484433186805855,0.1456921405499662,0.5070683546213007,0.2694020383643405,0.441968261418599,0.4696295851766908,4761.6640625
confirmation,clean,clean,0,3,calibrated_msp,full,75350016.0,0.2092953901960684,0.7634811680279818,0.4428999555493746,0.0937095594154837,0.0236135783824398,0.0700959810330438,9115570.0,8230786.0,80.0,0.9882576799983692,float32,7.97928009997122,1.3752610000083223,0.1742259506179487,0.1458003787635667,0.1195718347195154,0.5636420534460376,0.1346522928286396,0.524920389114453,0.2508036208960046,0.4632754335276644,0.4427001069511528,4761.6640625
confirmation,clean,clean,0,3,calibrated_msp,boundary,7003338.0,0.414973973839332,0.5931433489970412,0.5075089766072038,0.3643221532277916,0.1013421392499208,0.2629800139778707,4572476.0,1664736.0,13.0,0.5848065593863955,float32,7.97928009997122,0.6787216000957415,0.3963122351957518,0.3818757160647127,0.3681997994017955,0.6100460637353035,0.0735041564543151,0.5829304303375247,0.1404740136872751,0.5473673989839134,0.2638081372842847,4761.6640625
confirmation,clean,clean,0,3,calibrated_msp,interior,68346678.0,0.188219945379057,0.7682831846134495,0.4257688913804409,0.0817924102231974,0.0189428241800958,0.0628495860431016,8856079.0,7804033.0,80.0,0.9846072109020426,float32,7.97928009997122,1.3144183999393135,0.1526381733804801,0.1253092802991542,0.1013818869172065,0.5516578127862246,0.1465460602005191,0.5084559191463287,0.2701392421515572,0.4398626056159567,0.4673921433795224,4761.6640625
confirmation,clean,clean,0,3,entropy,full,75350016.0,0.2092953901960684,0.7460728843884589,0.4026645754305731,0.0978399732121735,0.0236135783824398,0.0742263948297336,27331638.0,17584884.0,24.0,0.8706469551380055,float32,7.449143500067294,4.528525500092655,0.1817264346087498,0.1559122041381725,0.1300994111063999,0.4901134730952958,0.1170865489808731,0.4574159664751545,0.2185504374123301,0.4228281201211666,0.4040491691395019,4761.6640625
confirmation,clean,clean,0,3,entropy,boundary,7003338.0,0.414973973839332,0.5664186849085645,0.4781171654925574,0.376857180131003,0.1013421392499208,0.2755150408810821,5030494.0,1430246.0,11.0,0.485923997956403,float32,7.449143500067294,0.7528862999752164,0.4022402013008081,0.3922279212896848,0.3824378046633677,0.5576453520748671,0.0671904199396945,0.5295787438565027,0.1276173756616451,0.50595787152987,0.2438504811948786,4761.6640625
confirmation,clean,clean,0,3,entropy,interior,68346678.0,0.188219945379057,0.751171953650985,0.3826630915487484,0.0854553015707694,0.0189428241800958,0.0665124773906736,26787527.0,16743440.0,22.0,0.8530420600691082,float32,7.449143500067294,4.477501299930736,0.1606378630671008,0.1353715560026389,0.1100828496734348,0.4684710947188654,0.1244477856701321,0.4364586546120455,0.2318875752008985,0.3996134852490274,0.4246239644135107,4761.6640625
confirmation,clean,clean,0,3,probability_margin,full,75350016.0,0.2092953901960684,0.763669455829341,0.4356537868254909,0.0935660825672082,0.0236135783824398,0.0699525041847684,15676044.0,13429322.0,128.0,0.9701828596824718,float32,7.540542599977925,2.268413499929011,0.1749188804278816,0.1455602705327883,0.11923032646196,0.5464169485290118,0.1305372700812934,0.5186840030035825,0.2478239153056949,0.4642358754516588,0.4436178930276452,4761.6640625
