condition,method,region,boundary_radius,pixels,nll,brier_score,ece,error_auroc,aurc,mean_wrong_confidence
clean,raw,boundary,3,2127005,1.403962281691275,0.5676619748833307,0.18435452805257907,0.6106879792569204,0.31347491903270897,0.7722120881080627
clean,raw,interior,3,19401571,0.6812460521077134,0.20402176996227522,0.07867782044112717,0.7863219688598582,0.04702714418810063,0.8624558448791504
clean,clean_global,boundary,3,2127005,1.0293886698227084,0.5254881531539506,0.06629276443996472,0.6109431939176981,0.31261991686026924,0.5943592190742493
clean,clean_global,interior,3,19401571,0.44967651334942155,0.1950454212130876,0.02105132017236882,0.7809784021699889,0.04783956208581152,0.7189470529556274
color_s1,raw,boundary,3,2127005,1.3861250849566056,0.565331982353121,0.18269069719644013,0.6146453499788458,0.31070738253257435,0.7686645984649658
color_s1,raw,interior,3,19401571,0.6539012295866402,0.20533563928276735,0.07794167969087976,0.786971673215757,0.04701825488867127,0.8550096750259399
color_s1,clean_global,boundary,3,2127005,1.0226712914146006,0.5236258891151379,0.06486146150323421,0.6151795201423922,0.309435197189182,0.5913224816322327
color_s1,clean_global,interior,3,19401571,0.44113635078668373,0.19642056406314984,0.023058303071243083,0.7815594613241048,0.047990059830320356,0.7118350267410278
color_s2,raw,boundary,3,2127005,1.387654987955482,0.5675327732594511,0.18405161339592793,0.6156046282205121,0.3124336316059534,0.7672433853149414
color_s2,raw,interior,3,19401571,0.6323048107644221,0.20805335171053932,0.0797814160700931,0.7910521727700156,0.0479142167382312,0.8428535461425781
color_s2,clean_global,boundary,3,2127005,1.0253977772589862,0.5251875500630582,0.06463829019500993,0.6156918137853453,0.31120609550887396,0.5896475911140442
color_s2,clean_global,interior,3,19401571,0.4362337458233408,0.19832864046003026,0.0243531715355745,0.7858260127043971,0.04914265677500293,0.7000322937965393
color_s3,raw,boundary,3,2127005,1.4121750960784647,0.5754740453713085,0.18820206616008128,0.6144079497415572,0.3175835367111417,0.7666131854057312
color_s3,raw,interior,3,19401571,0.6308857783064642,0.2103992830738423,0.07955779802738952,0.7911288990426343,0.048486761067787376,0.8367649912834167
