region,score,baseline,metric,direction,mean_improvement,ci95_low,ci95_high,iterations,cluster_unit,images
full,logit_margin,calibrated_msp,error_auprc,positive_is_better,0.0004686433804406424,-0.002635374847994753,0.0035681891956866356,1000,sample_id_with_all_13_conditions,511
full,logit_margin,calibrated_msp,top_10_uncertainty_recall,positive_is_better,0.0012009523627273476,-0.001307655855663699,0.003970019072847565,1000,sample_id_with_all_13_conditions,511
full,energy,calibrated_msp,eaurc,positive_is_better,-0.024604757020520254,-0.028793888598451417,-0.02067773953575792,1000,sample_id_with_all_13_conditions,511
full,energy,calibrated_msp,error_auprc,positive_is_better,-0.11877185754791705,-0.128301477904749,-0.11013525641081828,1000,sample_id_with_all_13_conditions,511
full,energy,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.12171600071498437,-0.13250901020890518,-0.11037232290434772,1000,sample_id_with_all_13_conditions,511
full,local_disagreement,calibrated_msp,eaurc,positive_is_better,-0.09151847805304127,-0.09806468746874226,-0.08523553970424573,1000,sample_id_with_all_13_conditions,511
full,local_disagreement,calibrated_msp,error_auprc,positive_is_better,-0.20786644884632327,-0.21742839812428036,-0.1984646761022093,1000,sample_id_with_all_13_conditions,511
full,local_disagreement,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.19411500912307714,-0.20986375007344757,-0.17871950587996233,1000,sample_id_with_all_13_conditions,511
interior,raw_msp,calibrated_msp,eaurc,positive_is_better,0.0004378715061855396,-8.453778586711259e-05,0.0009387759835587853,1000,sample_id_with_all_13_conditions,511
interior,raw_msp,calibrated_msp,error_auprc,positive_is_better,,,,1000,sample_id_with_all_13_conditions,511
interior,raw_msp,calibrated_msp,top_10_uncertainty_recall,positive_is_better,,,,1000,sample_id_with_all_13_conditions,511
interior,calibrated_msp,calibrated_msp,eaurc,positive_is_better,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,511
interior,calibrated_msp,calibrated_msp,error_auprc,positive_is_better,,,,1000,sample_id_with_all_13_conditions,511
interior,calibrated_msp,calibrated_msp,top_10_uncertainty_recall,positive_is_better,,,,1000,sample_id_with_all_13_conditions,511
interior,entropy,calibrated_msp,eaurc,positive_is_better,-0.0034452027748196794,-0.004217819976046266,-0.0026012423693188027,1000,sample_id_with_all_13_conditions,511
interior,entropy,calibrated_msp,error_auprc,positive_is_better,,,,1000,sample_id_with_all_13_conditions,511
interior,entropy,calibrated_msp,top_10_uncertainty_recall,positive_is_better,,,,1000,sample_id_with_all_13_conditions,511
interior,probability_margin,calibrated_msp,eaurc,positive_is_better,0.0002379797685773054,-9.797845128506099e-05,0.0005937788706095125,1000,sample_id_with_all_13_conditions,511
interior,probability_margin,calibrated_msp,error_auprc,positive_is_better,,,,1000,sample_id_with_all_13_conditions,511
interior,probability_margin,calibrated_msp,top_10_uncertainty_recall,positive_is_better,,,,1000,sample_id_with_all_13_conditions,511
interior,logit_margin,calibrated_msp,eaurc,positive_is_better,-7.58013533761755e-05,-0.0007350112915262349,0.0006838021163020773,1000,sample_id_with_all_13_conditions,511
interior,logit_margin,calibrated_msp,error_auprc,positive_is_better,,,,1000,sample_id_with_all_13_conditions,511
interior,logit_margin,calibrated_msp,top_10_uncertainty_recall,positive_is_better,,,,1000,sample_id_with_all_13_conditions,511
interior,energy,calibrated_msp,eaurc,positive_is_better,-0.022480793163765236,-0.026204345400238964,-0.01855059061032636,1000,sample_id_with_all_13_conditions,511
interior,energy,calibrated_msp,error_auprc,positive_is_better,,,,1000,sample_id_with_all_13_conditions,511
interior,energy,calibrated_msp,top_10_uncertainty_recall,positive_is_better,,,,1000,sample_id_with_all_13_conditions,511
interior,local_disagreement,calibrated_msp,eaurc,positive_is_better,-0.08412347476095913,-0.09122142860871431,-0.07722337130540127,1000,sample_id_with_all_13_conditions,511
interior,local_disagreement,calibrated_msp,error_auprc,positive_is_better,,,,1000,sample_id_with_all_13_conditions,511
interior,local_disagreement,calibrated_msp,top_10_uncertainty_recall,positive_is_better,,,,1000,sample_id_with_all_13_conditions,511
