region,metric,mean_improvement,ci95_low,ci95_high,cluster_unit
full,eaurc,0.0006294298048700685,0.00020170869891459803,0.001030889429146868,sample_id_with_all_13_conditions
full,error_auprc,-6.268601982537533e-05,-0.002842740932095717,0.0028905476511947633,sample_id_with_all_13_conditions
full,top_10_uncertainty_recall,0.003689120963192988,0.0012406330961961328,0.006256107529669073,sample_id_with_all_13_conditions
boundary,eaurc,0.0009463099009398663,0.00014603048220587843,0.0017486277475971324,sample_id_with_all_13_conditions
boundary,error_auprc,0.003993993532408805,0.001954900914371685,0.006071990793981653,sample_id_with_all_13_conditions
boundary,top_10_uncertainty_recall,0.0019373316647080165,0.0005431763975874628,0.0033663628556060993,sample_id_with_all_13_conditions
interior,eaurc,0.0006978531924766634,0.0002718290990764698,0.0011333495032097313,sample_id_with_all_13_conditions
interior,error_auprc,-0.0010383589525585371,-0.0051609557352931806,0.0029479614166063837,sample_id_with_all_13_conditions
interior,top_10_uncertainty_recall,0.00466439976927149,0.0020064879149728704,0.007464105740713257,sample_id_with_all_13_conditions
