split,condition,degradation_type,severity,boundary_radius,score,region,pixels,error_rate,error_auroc,error_auprc,aurc,oracle_aurc,eaurc,unique_score_count,tie_group_count,largest_tie_group,tied_pixel_fraction,score_dtype,sort_seconds,metric_seconds,risk_at_90_coverage,risk_at_80_coverage,risk_at_70_coverage,top_5_uncertainty_precision,top_5_uncertainty_recall,top_10_uncertainty_precision,top_10_uncertainty_recall,top_20_uncertainty_precision,top_20_uncertainty_recall,peak_process_rss_mb
confirmation,clean,clean,0,3,raw_msp,full,75350016.0,0.24205551595370597,0.761721981152098,0.48086217612541515,0.11040503233194245,0.031994888791908614,0.07841014354003384,7974038.0,6685187.0,822098.0,0.9828951462996371,float32,6.446216900018044,0.9302397000137717,0.20662571555871512,0.17434798827929915,0.1455403755931055,0.5963373776587362,0.12318195000970542,0.560923805992354,0.2317335482148664,0.5128856369248475,0.4237752336532377,7184.40234375
confirmation,clean,clean,0,3,raw_msp,boundary,7003338.0,0.4683101115496639,0.5753255867637718,0.5397263159392183,0.41903186023018935,0.13244433336848155,0.2865875268617078,4171049.0,1586878.0,3425.0,0.6310086704368688,float32,6.446216900018044,0.4774599000811577,0.4541964110769387,0.44301334131524056,0.43250984173466656,0.6323696978870083,0.06751614612648464,0.5953336193873209,0.12712383839665045,0.5694968400791622,0.2432136264709272,7184.40234375
confirmation,clean,clean,0,3,raw_msp,interior,68346678.0,0.21887169117422212,0.7694474525098969,0.46792774569614365,0.09565674520237862,0.02592061428683719,0.06973613091554143,7685850.0,6160565.0,818673.0,0.9776831143131784,float32,6.446216900018044,0.8915490000508726,0.18181782416445463,0.14977362134562147,0.12319733674710168,0.5906092292997992,0.134921342137486,0.5523564568169222,0.25236542470018186,0.4952639738072622,0.45256102846642904,7184.40234375
confirmation,clean,clean,0,3,calibrated_msp,full,75350016.0,0.24205551595370597,0.7621168798775455,0.4821800361577402,0.11024903897971126,0.031994888791908614,0.07825415018780266,9524756.0,8593950.0,10923.0,0.9876469037511552,float32,5.886927000014111,1.0832226000493392,0.20629649151691062,0.1744573722415532,0.14530522810384422,0.6010254542732703,0.12415033877889588,0.5638867337615393,0.23295761779031068,0.5124480834024109,0.4234137020897529,7184.40234375
confirmation,clean,clean,0,3,calibrated_msp,boundary,7003338.0,0.4683101115496639,0.5766306127340775,0.5429031337730107,0.41844150121765666,0.13244433336848155,0.2859971678491751,4503157.0,1549163.0,65.0,0.5782019945346062,float32,5.886927000014111,0.5093038999475539,0.45308520829879295,0.4417317204597593,0.4309428339993762,0.6389294251028795,0.06821650780215713,0.6053340263360054,0.1292592630987757,0.5746236795586106,0.2454031333028837,7184.40234375
confirmation,clean,clean,0,3,calibrated_msp,interior,68346678.0,0.21887169117422212,0.7698101099452124,0.46876548521545147,0.09550396669196964,0.02592061428683719,0.06958335240513246,9321002.0,8264560.0,10923.0,0.9845428917554705,float32,5.886927000014111,1.0736292999936268,0.181635659199415,0.1499978623948236,0.12310363080659684,0.5948233915678126,0.13588404370220689,0.5539959902465879,0.2531145090010555,0.49436700091775804,0.4517413949076624,7184.40234375
confirmation,clean,clean,0,3,entropy,full,75350016.0,0.24205551595370597,0.7393755517563811,0.4396009770462134,0.11622482056695445,0.031994888791908614,0.08422993177504584,29783751.0,15685817.0,83.0,0.8129007165705181,float32,5.761736299959011,3.9236837999196723,0.2138600279009007,0.18708672474904742,0.16230888334995544,0.5347635828984078,0.11046300869857541,0.49581495355497796,0.20483523291013678,0.46193066703897356,0.3816733444315983,7184.40234375
confirmation,clean,clean,0,3,entropy,boundary,7003338.0,0.4683101115496639,0.5551586869579395,0.5236337475280406,0.4294004097714161,0.13244433336848155,0.29695607640293453,5192934.0,1189673.0,64.0,0.428378153389141,float32,5.761736299959011,0.5816965999547392,0.456423245737549,0.44940154437053326,0.44286163925491046,0.6059708653299711,0.06469762486835823,0.5752912181901778,0.12284410869905914,0.5439440324188173,0.23230085122756908,7184.40234375
confirmation,clean,clean,0,3,entropy,interior,68346678.0,0.21887169117422212,0.747401168413701,0.42183136709744384,0.10076148401606444,0.02592061428683719,0.07484086972922725,29146285.0,14763979.0,83.0,0.7895683240083738,float32,5.761736299959011,3.4391721999272704,0.189911641809272,0.16328112359080799,0.13927102947316386,0.5154345463451919,0.11774811047122788,0.4795120991977957,0.21908366068586904,0.441233965814677,0.40318962800456243,7184.40234375
confirmation,clean,clean,0,3,probability_margin,full,75350016.0,0.24205551595370597,0.7603611844437824,0.4691648998098568,0.11073838094681443,0.031994888791908614,0.07874349215490581,15930834.0,13974904.0,7543.0,0.9740420758503887,float32,5.916549000074156,1.8186250999569893,0.2078151461000193,0.17513366329234203,0.14587841974516946,0.5689223560802094,0.11751898816273959,0.5502188320587041,0.22731101958140318,0.5097429303933828,0.4211785510815435,7184.40234375
confirmation,clean,clean,0,3,probability_margin,boundary,7003338.0,0.4683101115496639,0.5719825597753676,0.5288733906307524,0.4202454632469536,0.13244433336848155,0.28780112987847206,5028359.0,1281941.0,64.0,0.4650525220973199,float32,5.916549000074156,0.5657203000737354,0.45675594418852594,0.44505468909382684,0.434096635951384,0.5786738898868254,0.06178321168728927,0.5722969326064421,0.12220472757851704,0.5613321643672876,0.23972675832857177,7184.40234375
confirmation,clean,clean,0,3,probability_margin,interior,68346678.0,0.21887169117422212,0.7681708068790416,0.4559620015685306,0.0959548088668637,0.02592061428683719,0.07003419458002651,15600869.0,13233682.0,7543.0,0.965365002816962,float32,5.916549000074156,1.7889731000177562,0.18284418631671787,0.15038988818458132,0.12347993083580716,0.5658612825085286,0.12926781349184677,0.5431192561218776,0.24814505206277393,0.49279891868924725,0.45030851679904604,7184.40234375
confirmation,clean,clean,0,3,logit_margin,full,75350016.0,0.24205551595370597,0.7567111530383748,0.4627037166594801,0.11200144128017496,0.031994888791908614,0.08000655248826635,29979599.0,17498951.0,228.0,0.8343643616479126,float32,5.991592500009574,3.563535700086504,0.20878848142996062,0.17682394577453062,0.14792927717980234,0.5591015370666125,0.115490358594798,0.5414587812982664,0.2236919939248486,0.5029817842118688,0.4155921082245863,7184.40234375
confirmation,clean,clean,0,3,logit_margin,boundary,7003338.0,0.4683101115496639,0.5678665609844422,0.524590649176182,0.42250564870858154,0.13244433336848155,0.2900613153401,5577232.0,875431.0,112.0,0.3286342883921924,float32,5.991592500009574,0.6260401998879388,0.4575368415541476,0.44674830094431744,0.43648406872069384,0.5702602853305236,0.060884917293089466,0.565270285321004,0.1207043010195339,0.5545571827156757,0.2368333834390228,7184.40234375
confirmation,clean,clean,0,3,logit_margin,interior,68346678.0,0.21887169117422212,0.7645532904858313,0.4491658522684531,0.0971137354097256,0.02592061428683719,0.0711931211228884,28471522.0,16115253.0,222.0,0.8192118569391186,float32,5.991592500009574,3.2116907000308856,0.18387051676785532,0.15206877066673363,0.12538186880227747,0.5554581436874476,0.12689127519452473,0.5338823334213162,0.2439248064379046,0.48608337669071855,0.444172006262654,7184.40234375
confirmation,clean,clean,0,3,energy,full,75350016.0,0.24205551595370597,0.6939730327445226,0.3889144702645403,0.13280315688428218,0.031994888791908614,0.10080826809237356,16642304.0,11975365.0,94.0,0.9380631982878411,float32,5.713169099995866,1.928654900053516,0.21889811570490694,0.19975070136431458,0.18076440013977918,0.4852380928366044,0.100232815741443,0.4504721432058014,0.18610283072645825,0.4112747913006526,0.339818583776521,7184.40234375
confirmation,clean,clean,0,3,energy,boundary,7003338.0,0.4683101115496639,0.5395757707236097,0.5063623221597107,0.44065924229613035,0.13244433336848155,0.3082149089276488,4639386.0,1448406.0,68.0,0.544362988049413,float32,5.713169099995866,0.5402866000076756,0.4595362053496705,0.45347799290731156,0.4492261547910721,0.5696681868936821,0.06082170078427092,0.5472760140161694,0.1168619162407683,0.5276389551271251,0.22533748163723033,7184.40234375
confirmation,clean,clean,0,3,energy,interior,68346678.0,0.21887169117422212,0.702101028313751,0.36860871330285977,0.1147636128129097,0.02592061428683719,0.08884299852607251,16323846.0,11506118.0,92.0,0.9295104291681887,float32,5.713169099995866,1.8629703000187874,0.19563481675147965,0.1771130189284122,0.1584780763199382,0.46788710146564544,0.1068861652795449,0.42800358408045575,0.19555000206228257,0.3859063715415918,0.35263252251934696,7184.40234375
