method,target_alpha,region,seed,selected_coverage,coverage,rejected_pixel_fraction,actual_selective_risk,pixel_weighted_selective_risk,monotone_envelope_risk,risk_excess,absolute_risk_violation,accepted_correct_pixel_fraction,accepted_error_count,cluster_count,aurc,eaurc
global_crc,0.05,boundary,,0.01,0.010095249332992455,0.9899047506670076,0.33039799210241555,0.3435138040560704,0.33039799210241555,0.2803979921024155,0.2803979921024155,0.00662739183172171,2645.0562912317423,146.0,0.4284665181866707,0.27735444602170134
global_crc,0.05,full,,0.01,0.010002983940972222,0.9899970160590278,0.03802646487273733,0.03802646487273733,0.03802646487273733,-0.011973535127262673,0.0017354310047085928,0.009622605823518286,8188.999210343984,146.0,0.08075327536074818,0.04400374632421023
global_crc,0.05,interior,,0.01,0.010003399332586625,0.9899966006674134,0.03788070814695135,0.03786289265932628,0.03788070814695135,-0.012119291853048652,0.0017057751670901272,0.009624641697428523,7865.220829229189,146.0,0.0770299234514907,0.04176554850307679
global_crc,0.1,boundary,,0.31,0.3101037712967151,0.6898962287032848,0.4183154732766154,0.4221382867511857,0.45876761830487417,0.31831547327661536,0.31831547327661536,0.17919709656643826,99847.1025503977,146.0,0.4284665181866707,0.27735444602170134
global_crc,0.1,full,,0.31,0.3100043402777778,0.6899956597222222,0.061140525944732176,0.061140525944732176,0.08111802249830753,-0.03885947405526783,0.0004089917255883635,0.29105051186804476,408048.93540989724,146.0,0.08075327536074818,0.04400374632421023
global_crc,0.1,interior,,0.31,0.31000362566582307,0.689996374334177,0.05964571309516091,0.059666943392753795,0.07956530674040564,-0.040354286904839096,0.00018883530735736438,0.2915066568816719,384105.112753645,146.0,0.0770299234514907,0.04176554850307679
global_crc,0.15,boundary,,0.75,0.7500704700846297,0.2499295299153703,0.45529969136286585,0.4580076412163567,0.48680021291160985,0.30529969136286583,0.30529969136286583,0.4065324633351246,262028.46157808372,146.0,0.4284665181866707,0.27735444602170134
global_crc,0.15,full,,0.75,0.75,0.25,0.10173107450728382,0.10173107450728382,0.1238049163228375,-0.04826892549271618,0.0015854474848997129,0.6737016941195372,1642593.8768187915,146.0,0.08075327536074818,0.04400374632421023
global_crc,0.15,interior,,0.75,0.7500029013994666,0.24999709860053343,0.0961258509176335,0.09617428107545187,0.11852326396019988,-0.05387414908236649,0.0010538598245444166,0.6778719115528697,1497860.6663270418,146.0,0.0770299234514907,0.04176554850307679
naive_empirical,0.05,boundary,,0.01,0.010095249332992455,0.9899047506670076,0.33039799210241555,0.3435138040560704,0.33039799210241555,0.2803979921024155,0.2803979921024155,0.00662739183172171,2645.0562912317423,146.0,0.4284665181866707,0.27735444602170134
