region,score,baseline,metric,direction,mean_improvement,ci95_low,ci95_high,iterations,cluster_unit,images
full,logit_margin,calibrated_msp,top_10_uncertainty_recall,positive_is_better,0.001860458748275293,-0.002676147002670579,0.006017124296465793,1000,sample_id_with_all_13_conditions,146
full,energy,calibrated_msp,eaurc,positive_is_better,-0.013649632326476757,-0.019515317731078844,-0.008424543305167167,1000,sample_id_with_all_13_conditions,146
full,energy,calibrated_msp,error_auprc,positive_is_better,-0.12901425497050262,-0.14439226375195066,-0.11328590686112482,1000,sample_id_with_all_13_conditions,146
full,energy,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.15925066234189567,-0.18245589570382756,-0.13752648790567745,1000,sample_id_with_all_13_conditions,146
full,local_disagreement,calibrated_msp,eaurc,positive_is_better,-0.06559302687153554,-0.07480610629212715,-0.0567117366468044,1000,sample_id_with_all_13_conditions,146
full,local_disagreement,calibrated_msp,error_auprc,positive_is_better,-0.21182610473049637,-0.22589565036031914,-0.1978135878274231,1000,sample_id_with_all_13_conditions,146
full,local_disagreement,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.2533254840499579,-0.28004498276188156,-0.22762775520161507,1000,sample_id_with_all_13_conditions,146
interior,raw_msp,calibrated_msp,eaurc,positive_is_better,0.0012152064085315687,0.00045703247854115436,0.0020061820170370116,1000,sample_id_with_all_13_conditions,146
interior,raw_msp,calibrated_msp,error_auprc,positive_is_better,0.018178946324263555,0.012800257198395908,0.024016104616330008,1000,sample_id_with_all_13_conditions,146
interior,raw_msp,calibrated_msp,top_10_uncertainty_recall,positive_is_better,0.006339892670072792,0.002674987959298666,0.010084362728901793,1000,sample_id_with_all_13_conditions,146
interior,calibrated_msp,calibrated_msp,eaurc,positive_is_better,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
interior,calibrated_msp,calibrated_msp,error_auprc,positive_is_better,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
interior,calibrated_msp,calibrated_msp,top_10_uncertainty_recall,positive_is_better,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
interior,entropy,calibrated_msp,eaurc,positive_is_better,-0.00242305455230664,-0.003249550642840022,-0.001726549361271578,1000,sample_id_with_all_13_conditions,146
interior,entropy,calibrated_msp,error_auprc,positive_is_better,-0.07489168282920688,-0.08450417015794914,-0.06599685820225001,1000,sample_id_with_all_13_conditions,146
interior,entropy,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.0621920511971149,-0.07440503485681883,-0.051156337330053876,1000,sample_id_with_all_13_conditions,146
interior,probability_margin,calibrated_msp,eaurc,positive_is_better,0.000825634994870661,0.0003001622048370178,0.0014054219894564974,1000,sample_id_with_all_13_conditions,146
interior,probability_margin,calibrated_msp,error_auprc,positive_is_better,0.013179174205459544,0.0073536200309466,0.01955527916541128,1000,sample_id_with_all_13_conditions,146
interior,probability_margin,calibrated_msp,top_10_uncertainty_recall,positive_is_better,0.0051005033007345225,0.0019273068594218659,0.008611165065278831,1000,sample_id_with_all_13_conditions,146
interior,logit_margin,calibrated_msp,eaurc,positive_is_better,0.0011844497231708444,-0.0002741181097339012,0.002503262121363088,1000,sample_id_with_all_13_conditions,146
interior,logit_margin,calibrated_msp,error_auprc,positive_is_better,0.012429518814647397,0.005418444767162731,0.01966826377970657,1000,sample_id_with_all_13_conditions,146
interior,logit_margin,calibrated_msp,top_10_uncertainty_recall,positive_is_better,0.00417139564723193,-0.0007170669854642151,0.008723746385903966,1000,sample_id_with_all_13_conditions,146
interior,energy,calibrated_msp,eaurc,positive_is_better,-0.012183745764189015,-0.017897452983087356,-0.00723959296710848,1000,sample_id_with_all_13_conditions,146
interior,energy,calibrated_msp,error_auprc,positive_is_better,-0.14573008944008708,-0.16401770056375636,-0.12565844870840248,1000,sample_id_with_all_13_conditions,146
interior,energy,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.21001979557044617,-0.23911984785265059,-0.17986498829655045,1000,sample_id_with_all_13_conditions,146
interior,local_disagreement,calibrated_msp,eaurc,positive_is_better,-0.05391290770923313,-0.06344649384880925,-0.04447801721614176,1000,sample_id_with_all_13_conditions,146
interior,local_disagreement,calibrated_msp,error_auprc,positive_is_better,-0.2090206315369453,-0.22943774655675064,-0.1892234979666224,1000,sample_id_with_all_13_conditions,146
interior,local_disagreement,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.35401501485153625,-0.3864097752021211,-0.32040485903557137,1000,sample_id_with_all_13_conditions,146
