condition,comparison,metric,mean_difference,ci95_low,ci95_high,iterations,unit
clean,pooled_minus_clean_global,nll,0.0010613697032405905,-0.0033432567964167626,0.004648724103933328,1000,image
clean,pooled_minus_clean_global,brier_score,0.0007853509909281992,-9.954367024339221e-06,0.0014509291024495884,1000,image
clean,pooled_minus_clean_global,ece,0.005718875544549999,0.004485678856312088,0.0068937548464473265,1000,image
clean,per_degradation_minus_clean_global,nll,0.0,0.0,0.0,1000,image
clean,per_degradation_minus_clean_global,brier_score,0.0,0.0,0.0,1000,image
clean,per_degradation_minus_clean_global,ece,0.0,0.0,0.0,1000,image
color_s1,pooled_minus_clean_global,nll,0.0016824511479433268,-0.002462244251334708,0.0049985732538753175,1000,image
color_s1,pooled_minus_clean_global,brier_score,0.0008143576257543205,1.2815647522523441e-05,0.0015186707624744572,1000,image
color_s1,pooled_minus_clean_global,ece,0.006033590835765308,0.0048174344429749135,0.007139341351508438,1000,image
color_s1,per_degradation_minus_clean_global,nll,-7.392119054924951e-05,-0.0003523312483544219,0.000247313323341412,1000,image
color_s1,per_degradation_minus_clean_global,brier_score,-5.2677563149226854e-05,-0.00010951471671283449,1.1186288790904902e-05,1000,image
color_s1,per_degradation_minus_clean_global,ece,-0.00044319113457272564,-0.0005409182330159025,-0.0003470026222738141,1000,image
color_s2,pooled_minus_clean_global,nll,0.002260339994953103,-0.001652658126023534,0.0052879174303722696,1000,image
color_s2,pooled_minus_clean_global,brier_score,0.0008588920806674924,5.839321752754998e-05,0.0015531044641560678,1000,image
color_s2,pooled_minus_clean_global,ece,0.00596477014344585,0.004734440830994734,0.007053895047395134,1000,image
color_s2,per_degradation_minus_clean_global,nll,-0.00012128269427443203,-0.00038354206345465083,0.00017087248294320824,1000,image
color_s2,per_degradation_minus_clean_global,brier_score,-5.5824234214139314e-05,-0.0001074197941319379,6.0356370403035825e-06,1000,image
color_s2,per_degradation_minus_clean_global,ece,-0.00045679789097975883,-0.0005467994113969907,-0.0003598509669821042,1000,image
color_s3,pooled_minus_clean_global,nll,0.0025592715772863937,-0.0012126364464527123,0.005608917248422561,1000,image
color_s3,pooled_minus_clean_global,brier_score,0.0009896674397567363,0.0002398009270059634,0.001652280817267625,1000,image
color_s3,pooled_minus_clean_global,ece,0.0061409833110694645,0.004847762388962486,0.007292719483134403,1000,image
color_s3,per_degradation_minus_clean_global,nll,-0.00014567239949964496,-0.0004027977891980785,0.0001471287405041799,1000,image
color_s3,per_degradation_minus_clean_global,brier_score,-6.609395376011116e-05,-0.0001183587285906893,-5.658281877738977e-06,1000,image
color_s3,per_degradation_minus_clean_global,ece,-0.0004838722382026338,-0.0005732612405885798,-0.00038363033771730045,1000,image
turbidity_s1,pooled_minus_clean_global,nll,0.0013986014033833595,-0.0028803658403762397,0.004900432702102889,1000,image
turbidity_s1,pooled_minus_clean_global,brier_score,0.0008122826964683729,1.721384565103545e-05,0.001500908458886081,1000,image
turbidity_s1,pooled_minus_clean_global,ece,0.005786829799748945,0.004533780635413674,0.006946379191001934,1000,image
turbidity_s1,per_degradation_minus_clean_global,nll,0.0006656598248710371,-0.0017625146609258977,0.00280119663180962,1000,image
turbidity_s1,per_degradation_minus_clean_global,brier_score,0.00044969869267246496,-3.615785071192538e-05,0.0008519850331613767,1000,image
turbidity_s1,per_degradation_minus_clean_global,ece,0.003408718376123483,0.002692176502698942,0.004108256323708509,1000,image
turbidity_s2,pooled_minus_clean_global,nll,0.0017793727655933329,-0.0022745297086259274,0.0050655531352513435,1000,image
turbidity_s2,pooled_minus_clean_global,brier_score,0.000792511496437739,7.495264943740141e-06,0.001479091084472937,1000,image
turbidity_s2,pooled_minus_clean_global,ece,0.005715617560852828,0.004485858982614254,0.006847401248101277,1000,image
turbidity_s2,per_degradation_minus_clean_global,nll,0.0008953370613186326,-0.0012882307439736305,0.002927108982271731,1000,image
turbidity_s2,per_degradation_minus_clean_global,brier_score,0.0004371338817354751,-4.674222301181457e-05,0.0008532906451887668,1000,image
turbidity_s2,per_degradation_minus_clean_global,ece,0.003317878310194846,0.0025868794353537477,0.004027529440865091,1000,image
turbidity_s3,pooled_minus_clean_global,nll,0.0015389869015102516,-0.0016742872826959172,0.0044889671976792896,1000,image
turbidity_s3,pooled_minus_clean_global,brier_score,0.0006071547020788062,-0.000207920816937487,0.0013056347298129676,1000,image
turbidity_s3,pooled_minus_clean_global,ece,0.005407792665881247,0.004140533053349942,0.00664478404486402,1000,image
turbidity_s3,per_degradation_minus_clean_global,nll,0.0007513229773469167,-0.0011351713285564558,0.0026425586496671176,1000,image
turbidity_s3,per_degradation_minus_clean_global,brier_score,0.0003269368795397347,-0.00015547752335718642,0.0007666722552417075,1000,image
turbidity_s3,per_degradation_minus_clean_global,ece,0.003097661023938666,0.002304040409235692,0.0038472193884192558,1000,image
lowlight_s1,pooled_minus_clean_global,nll,0.0017325350478903888,-0.002324903448916053,0.005075390950763878,1000,image
lowlight_s1,pooled_minus_clean_global,brier_score,0.0007803218490252756,-3.372342740376926e-05,0.0014570326381681915,1000,image
lowlight_s1,pooled_minus_clean_global,ece,0.005806892559049499,0.004578648177236191,0.006910882013489114,1000,image
lowlight_s1,per_degradation_minus_clean_global,nll,0.0030657969006936845,-0.002678324483743269,0.008112895491290581,1000,image
lowlight_s1,per_degradation_minus_clean_global,brier_score,0.0012696538477727812,4.231394651307639e-05,0.002320650470608922,1000,image
