region,score,baseline,metric,direction,mean_improvement,ci95_low,ci95_high,iterations,cluster_unit,images
full,logit_margin,calibrated_msp,error_auprc,positive_is_better,-0.002395646161378157,-0.004462062202377111,-0.00010083738019210779,1000,sample_id_with_all_13_conditions,511
full,logit_margin,calibrated_msp,top_10_uncertainty_recall,positive_is_better,0.0008285657193532344,-0.000988637404674551,0.0027440854262882103,1000,sample_id_with_all_13_conditions,511
full,energy,calibrated_msp,eaurc,positive_is_better,-0.021220056485570626,-0.02445454925509993,-0.017994176919643116,1000,sample_id_with_all_13_conditions,511
full,energy,calibrated_msp,error_auprc,positive_is_better,-0.09223120827070956,-0.0993447237469487,-0.08537119061487698,1000,sample_id_with_all_13_conditions,511
full,energy,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.087085842424954,-0.09495391772695748,-0.07912414329529796,1000,sample_id_with_all_13_conditions,511
full,local_disagreement,calibrated_msp,eaurc,positive_is_better,-0.10015629672041972,-0.10544233976074312,-0.0948550075683193,1000,sample_id_with_all_13_conditions,511
full,local_disagreement,calibrated_msp,error_auprc,positive_is_better,-0.19473228185755478,-0.2029398906695493,-0.18664133087841805,1000,sample_id_with_all_13_conditions,511
full,local_disagreement,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.15736387105915686,-0.17001929370808064,-0.14388122954816057,1000,sample_id_with_all_13_conditions,511
interior,raw_msp,calibrated_msp,eaurc,positive_is_better,0.00041241523879687183,-9.413307128331313e-05,0.0008884795278968233,1000,sample_id_with_all_13_conditions,511
interior,raw_msp,calibrated_msp,error_auprc,positive_is_better,0.008749510842620356,0.006776092707768025,0.01093471467532518,1000,sample_id_with_all_13_conditions,511
interior,raw_msp,calibrated_msp,top_10_uncertainty_recall,positive_is_better,0.005935439638251279,0.004471000046799488,0.007546585973001453,1000,sample_id_with_all_13_conditions,511
interior,calibrated_msp,calibrated_msp,eaurc,positive_is_better,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,511
interior,calibrated_msp,calibrated_msp,error_auprc,positive_is_better,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,511
interior,calibrated_msp,calibrated_msp,top_10_uncertainty_recall,positive_is_better,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,511
interior,entropy,calibrated_msp,eaurc,positive_is_better,-0.005378655148341133,-0.006366378508388101,-0.004307969600944188,1000,sample_id_with_all_13_conditions,511
interior,entropy,calibrated_msp,error_auprc,positive_is_better,-0.0559928648464086,-0.060697041411639015,-0.05095676545831189,1000,sample_id_with_all_13_conditions,511
interior,entropy,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.05922832151389068,-0.06591446679717912,-0.0528730879185581,1000,sample_id_with_all_13_conditions,511
interior,probability_margin,calibrated_msp,eaurc,positive_is_better,0.00022250471945804405,-0.00019939184896503425,0.0006237581080035701,1000,sample_id_with_all_13_conditions,511
interior,probability_margin,calibrated_msp,error_auprc,positive_is_better,0.004835256563311577,0.002499817209672867,0.007721342035799907,1000,sample_id_with_all_13_conditions,511
interior,probability_margin,calibrated_msp,top_10_uncertainty_recall,positive_is_better,0.004812327278962055,0.003116622440498194,0.00664483104078135,1000,sample_id_with_all_13_conditions,511
interior,logit_margin,calibrated_msp,eaurc,positive_is_better,-0.00040281685509485475,-0.0011012590360293926,0.0003152284241250641,1000,sample_id_with_all_13_conditions,511
interior,logit_margin,calibrated_msp,error_auprc,positive_is_better,0.002180491989219221,-0.000905693302045392,0.005488169020913661,1000,sample_id_with_all_13_conditions,511
interior,logit_margin,calibrated_msp,top_10_uncertainty_recall,positive_is_better,0.0023156225225449655,2.8589934749142543e-07,0.004600619982920948,1000,sample_id_with_all_13_conditions,511
interior,energy,calibrated_msp,eaurc,positive_is_better,-0.019831791667264103,-0.023025641552882392,-0.016826197032720352,1000,sample_id_with_all_13_conditions,511
interior,energy,calibrated_msp,error_auprc,positive_is_better,-0.10585898663235296,-0.11433104520375799,-0.09780579243718193,1000,sample_id_with_all_13_conditions,511
interior,energy,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.11807776581178159,-0.12970474653141106,-0.10642900586955498,1000,sample_id_with_all_13_conditions,511
interior,local_disagreement,calibrated_msp,eaurc,positive_is_better,-0.09286322958881493,-0.0989445620167893,-0.08692553173056122,1000,sample_id_with_all_13_conditions,511
interior,local_disagreement,calibrated_msp,error_auprc,positive_is_better,-0.20313842741498098,-0.21279717262497222,-0.19401458617197465,1000,sample_id_with_all_13_conditions,511
interior,local_disagreement,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.2054484828347,-0.22195624276680928,-0.19119673279241334,1000,sample_id_with_all_13_conditions,511
