condition,degradation_type,severity,split,miou,pixel_accuracy,mean_accuracy,mean_dice,loss,nll,brier_score,ece,error_auroc,aurc,mean_confidence,mean_correct_confidence,mean_wrong_confidence
clean,clean,0,val,0.6029388738576333,0.8566973496064022,0.6949328117998734,0.7197083900612459,0.7526771442530906,0.752649837432931,0.23994914164463316,0.08912265713224987,0.7908760419518508,0.05577282355980461,0.9458193778991699,0.9636014103889465,0.8395146131515503
clean,clean,0,calibration,0.6525628259208327,0.836863385669354,0.7466541207425561,0.7672371030334714,0.8058299189561033,0.8057961875808112,0.27088171887796947,0.10007122950307928,0.7731095939509023,0.06844307388712095,0.9369345903396606,0.9570802450180054,0.8335909843444824
color_s1,color_attenuation,1,val,0.5984093536129826,0.8545117429039432,0.6937990115415099,0.7172747867174328,0.7262715015509357,0.7262443331278623,0.24090297735626476,0.08828625143823027,0.7909911944092421,0.05584052736126931,0.9427978992462158,0.9614238739013672,0.8333997130393982
color_s1,color_attenuation,1,calibration,0.6512217048898563,0.8334617672808458,0.7449161384029497,0.765045613144814,0.812564710435802,0.8125331726611296,0.27649257934256777,0.1032638478915196,0.7741643150409003,0.06843448784928693,0.9367256164550781,0.9569410681724548,0.8355549573898315
color_s2,color_attenuation,2,val,0.5917327710576801,0.8499919362989916,0.6899460718189507,0.7105084838397633,0.7069598687429951,0.7069327873000634,0.24356962103096136,0.09008053573464689,0.7938262811239264,0.0568878033316421,0.9400724172592163,0.9604896903038025,0.8243827223777771
color_s2,color_attenuation,2,calibration,0.6414801370308927,0.8266559757598458,0.7365058082814477,0.7572328597655582,0.8189923877585424,0.8189667802604548,0.28631278223824463,0.1098855150115559,0.7883291334957456,0.06721191323880667,0.9365159869194031,0.9580846428871155,0.8336580991744995
color_s3,color_attenuation,3,val,0.5837019680909257,0.8470225341425276,0.6826503780824222,0.700706103908831,0.7081019310918573,0.7080765028159549,0.24646837725849818,0.0902910870085348,0.7933532279675098,0.05779384716376176,0.9373136162757874,0.9585543870925903,0.8197055459022522
color_s3,color_attenuation,3,calibration,0.628675988287032,0.8195317237888842,0.728612901625866,0.7479386267256684,0.8311326858932024,0.8311104574885724,0.29568530544298427,0.11342293744925011,0.7974447307718808,0.0677620161976233,0.9329429864883423,0.956465482711792,0.8261240720748901
turbidity_s1,turbidity,1,val,0.6042105690177435,0.8563155779555508,0.6960166065123563,0.721776485288821,0.7377178830234972,0.7376920168076839,0.23959547054459152,0.08887345444454164,0.7945016363586617,0.05436766647838866,0.9451890587806702,0.9633020162582397,0.8372412919998169
turbidity_s1,turbidity,1,calibration,0.6552349253398297,0.8354933461460712,0.7502383224497658,0.7687202225307124,0.8054569424831703,0.8054256675087335,0.27203422049953513,0.10068905977788976,0.7737334634251383,0.06837781516235283,0.9361823201179504,0.9567416906356812,0.8317660689353943
turbidity_s2,turbidity,2,val,0.5961679534369808,0.8518612192464564,0.689419648079806,0.715907901471312,0.7264727564298943,0.726448851088955,0.24389581375470445,0.09128169217267204,0.8004300844116069,0.053958202294659176,0.9431425333023071,0.962615966796875,0.8311618566513062
turbidity_s2,turbidity,2,calibration,0.6592203838685875,0.8308503544312452,0.7541160454829221,0.7704751307325077,0.8438949856447847,0.8438649934176441,0.28231916961060266,0.1052951787620845,0.7696326418902828,0.07104670824262303,0.9361454248428345,0.9563140869140625,0.8370787501335144
turbidity_s3,turbidity,3,val,0.5753821362521507,0.8436446051982258,0.6688586735442212,0.6948483299156264,0.7471489104097837,0.7471242562458033,0.25771907584307946,0.09560008864983383,0.7916350195898747,0.059699550171947335,0.9392392635345459,0.9595736265182495,0.8295208811759949
turbidity_s3,turbidity,3,calibration,0.6342656407197875,0.8137692432606782,0.7309680530408268,0.7518751473589758,0.9432546825033344,0.9432196148998662,0.3092565824996391,0.1212619155626237,0.7744770371710673,0.07940548716842463,0.9350311160087585,0.957334041595459,0.8375747203826904
lowlight_s1,lowlight,1,val,0.5921634345806125,0.8505147298177084,0.6911727807994603,0.7111126095432874,0.7353702187538147,0.7353458533366884,0.2461107083833018,0.09118189897775913,0.800280937368927,0.055725122072807776,0.9416951537132263,0.9614825248718262,0.8291118144989014
lowlight_s1,lowlight,1,calibration,0.6519040440824668,0.8330341031380802,0.7561416631273443,0.7661431032698474,0.8243482304762487,0.8243167482010306,0.27575540751264155,0.10259014503003291,0.778090947123815,0.06849802510014659,0.9356241822242737,0.9570534229278564,0.8287081718444824
lowlight_s2,lowlight,2,val,0.5664966484932473,0.8351636448225838,0.6722605787031165,0.686151925333901,0.7653422549571076,0.7653182812114466,0.2683046768154365,0.10073799452242775,0.7992946982208314,0.06302083940535294,0.9359015822410583,0.9582673907279968,0.8225827813148499
lowlight_s2,lowlight,2,calibration,0.6359113918367052,0.8205147892735684,0.7467495306800597,0.7561121404755817,0.8747932674133614,0.8747408331982802,0.294534157218817,0.11250702235346975,0.7865952872062787,0.07238206651104007,0.9330103397369385,0.9562680721282959,0.826687753200531
lowlight_s3,lowlight,3,val,0.48092113155522404,0.7712347068380184,0.5944856448237399,0.6103348589684776,1.1877740635855558,1.187714583797542,0.3806034119706176,0.15357782852303592,0.7411147102735106,0.11909868755190597,0.9248108267784119,0.9502729773521423,0.8389706015586853
lowlight_s3,lowlight,3,calibration,0.5473042902508265,0.7617027247877426,0.6741061105220247,0.6883286583088882,1.2399159682123628,1.2398602421788139,0.39381993651571523,0.1584242256841295,0.7499991081020708,0.11940308244894178,0.9201245903968811,0.9487036466598511,0.8287732601165771
blur_s1,blur,1,val,0.5877896140820782,0.8542041981782724,0.6798772427371244,0.7031098757187989,0.7520611324947174,0.752033554437135,0.2440077077308202,0.09238369211492242,0.7915948075014354,0.05710907036439151,0.9465878009796143,0.9644315838813782,0.8420431017875671
blur_s1,blur,1,calibration,0.655223457434689,0.8323085093969986,0.7487646135179035,0.7675584113940772,0.8371874381826349,0.8371482644814153,0.279068768931669,0.10554355235106626,0.7698680964427872,0.07093341336790848,0.9378520846366882,0.9581069350242615,0.8373203873634338
blur_s2,blur,2,val,0.56832332520713,0.8502737477852692,0.6551032763127363,0.6799728293307193,0.7661391237418945,0.7661093159534796,0.24991644190871007,0.09601499280260553,0.7917094658264126,0.05742429671150316,0.9462880492210388,0.9643863439559937,0.8435114026069641
blur_s2,blur,2,calibration,0.6160850477561309,0.8169480879738632,0.7075815188832721,0.7294975006186836,0.9709526994456984,0.9709079726464491,0.31060818939992824,0.12517029373969865,0.7644362883582019,0.0790384717254951,0.9421184062957764,0.9618990421295166,0.8538380265235901
blur_s3,blur,3,val,0.5365014897981047,0.8308205800513698,0.6255777671661737,0.653486654434408,0.8583235985612216,0.8582894203325385,0.2814408725799491,0.11083660286471811,0.7885834028301716,0.06498964765661043,0.9416571855545044,0.961810290813446,0.8426873087882996
