comparison,method,target_alpha,seed,metric,mean_improvement,ci95_low,ci95_high,iterations,cluster_unit,clusters
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260722.0,risk_excess_reduction,-0.0005648551282845153,-0.0023780358019485923,0.0013078887020201583,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260722.0,worst_condition_risk_excess_reduction,-0.008999073950633263,-0.015711173706222326,-0.0020463769116043583,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260722.0,lowlight_s3_risk_excess_reduction,0.016443514047368133,0.007339143460533344,0.025139163946390795,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260722.0,blur_s3_risk_excess_reduction,-0.002265959287072767,-0.005717577513588703,0.0018003688665242897,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260723.0,coverage_improvement,0.007630588589492758,0.0050983742285112725,0.010092691555020381,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260723.0,risk_excess_reduction,-0.0005572181063854087,-0.0023652137015660597,0.0012551072998888033,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260723.0,worst_condition_risk_excess_reduction,-0.00908363601749279,-0.01621529917898307,-0.0026216842131719523,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260723.0,lowlight_s3_risk_excess_reduction,0.016443514047368133,0.007689803540937799,0.025874300415197875,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260723.0,blur_s3_risk_excess_reduction,-0.0023508674741122113,-0.006029129088335216,0.0018811312567157963,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260724.0,coverage_improvement,0.007589944302273129,0.005024424205931114,0.009944603341863674,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260724.0,risk_excess_reduction,-0.0005474465626474911,-0.00235343346198742,0.001321429556335914,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260724.0,worst_condition_risk_excess_reduction,-0.008998727830453346,-0.016162511932394593,-0.002478752518094083,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260724.0,lowlight_s3_risk_excess_reduction,0.016443514047368133,0.006925988144697352,0.026253253116376742,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260724.0,blur_s3_risk_excess_reduction,-0.002265959287072767,-0.0059113994333394,0.0020805206345288455,1000,original_sample_id_with_all_13_conditions,511
oracle_condition_crc - global_crc,oracle_condition_crc,0.15,,coverage_improvement,0.013846153846153895,0.013846153846153895,0.013846153846153895,1000,original_sample_id_with_all_13_conditions,511
oracle_condition_crc - global_crc,oracle_condition_crc,0.15,,risk_excess_reduction,-0.0015101069348811603,-0.00298262937071774,1.233030231873743e-05,1000,original_sample_id_with_all_13_conditions,511
oracle_condition_crc - global_crc,oracle_condition_crc,0.15,,worst_condition_risk_excess_reduction,0.0037220885430654825,-0.007382314086007931,0.014867041940303409,1000,original_sample_id_with_all_13_conditions,511
oracle_condition_crc - global_crc,oracle_condition_crc,0.15,,lowlight_s3_risk_excess_reduction,0.08551815214503723,0.06757451440928065,0.10219519615903412,1000,original_sample_id_with_all_13_conditions,511
oracle_condition_crc - global_crc,oracle_condition_crc,0.15,,blur_s3_risk_excess_reduction,0.04973447787285069,0.043035090788630534,0.056874435591346424,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260722.0,coverage_improvement,-0.004579256360078337,-0.008157760048171064,-0.0012666716844799634,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260722.0,risk_excess_reduction,0.0007672959712341494,-0.00042033764513323363,0.0019747724370910136,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260722.0,worst_condition_risk_excess_reduction,0.0010418152414501394,-0.003278952100319582,0.005326388347668875,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260722.0,lowlight_s3_risk_excess_reduction,0.04012390444297655,0.033371048403115645,0.046680226767989594,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260722.0,blur_s3_risk_excess_reduction,-0.00529614763539772,-0.0074556001245171455,-0.00270656838193305,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260723.0,coverage_improvement,-0.0047809724522053865,-0.00833945506548253,-0.001439033569170612,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260723.0,risk_excess_reduction,0.0008026282062045851,-0.00030863410648043364,0.0020194406396483343,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260723.0,worst_condition_risk_excess_reduction,0.001025702274670046,-0.00312629562462953,0.005212422191803984,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260723.0,lowlight_s3_risk_excess_reduction,0.04012390444297655,0.033496633962545944,0.04720106284529312,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260723.0,blur_s3_risk_excess_reduction,-0.005312260602177813,-0.0077350034872269435,-0.0028041478726188425,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260724.0,coverage_improvement,-0.00480806864368514,-0.008568718952280658,-0.0014026795122686051,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260724.0,risk_excess_reduction,0.0008147722504952068,-0.00034489667900953634,0.0019224591114126513,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260724.0,worst_condition_risk_excess_reduction,0.0010418152414501394,-0.0029895160788392283,0.005159376693035556,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260724.0,lowlight_s3_risk_excess_reduction,0.04012390444297655,0.033217808731076305,0.046868245610657375,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260724.0,blur_s3_risk_excess_reduction,-0.0052556288994449136,-0.007440528919350929,-0.0029747556747099255,1000,original_sample_id_with_all_13_conditions,511
