method,fit_scope,seed,target_alpha,condition,region,selected_coverage,coverage,rejected_pixel_fraction,actual_selective_risk,pixel_weighted_selective_risk,monotone_envelope_risk,risk_excess,absolute_risk_violation,accepted_correct_pixel_fraction,accepted_error_count,cluster_count,aurc,eaurc
no_rejection,none,,0.05,clean,full,1.0,1.0,0.0,0.14329856202924904,0.14329856202924904,0.16221027716688097,0.09329856202924904,0.09329856202924904,0.8567014379707509,3085013.9833374023,146,0.07209341763593315,0.03825865009882373
no_rejection,none,,0.05,clean,boundary,1.0,1.0,0.0,0.47038141239995823,0.47351439032638115,0.49205489987379886,0.42038141239995824,0.42038141239995824,0.5264856096736188,361165.99850559235,146,0.41797494622917003,0.2737444500968542
no_rejection,none,,0.05,clean,interior,1.0,1.0,0.0,0.13131461229353938,0.13116964573284726,0.15089395436241407,0.08131461229353938,0.08131461229353938,0.8688303542671528,2723848.0073146345,146,0.06861003499507132,0.03610580936377746
no_rejection,none,,0.05,color_s1,full,1.0,1.0,0.0,0.145492298327616,0.145492298327616,0.15956251622075598,0.09549229832761601,0.09549229832761601,0.854507701672384,3132242.0019607544,146,0.0719648485036804,0.03783488663502834
no_rejection,none,,0.05,color_s1,boundary,1.0,1.0,0.0,0.4715002739470299,0.4740126012145406,0.4947990124968633,0.42150027394702994,0.42150027394702994,0.5259873987854594,361546.0013873726,146,0.41865243744079583,0.2738825749451398
no_rejection,none,,0.05,color_s1,interior,1.0,1.0,0.0,0.13355026130539793,0.13342565873793297,0.14797078983157344,0.08355026130539793,0.08355026130539793,0.8665743412620671,2770696.014672177,146,0.06842291599015633,0.03564758261635715
no_rejection,none,,0.05,color_s2,full,1.0,1.0,0.0,0.15001071134441826,0.15001071134441826,0.1644338075652055,0.10001071134441826,0.10001071134441826,0.8499892886555818,3229516.9999923706,146,0.07493001231044077,0.040681906000299986
no_rejection,none,,0.05,color_s2,boundary,1.0,1.0,0.0,0.47355759123416796,0.475381358761787,0.4979841735673277,0.423557591234168,0.423557591234168,0.524618641238213,362590.0006751716,146,0.42052554758877997,0.27473474840558754
no_rejection,none,,0.05,color_s2,interior,1.0,1.0,0.0,0.13815919908516314,0.1380597592609787,0.15306097025702364,0.08815919908516313,0.08815919908516313,0.8619402407390214,2866927.009311761,146,0.07132767059328576,0.038447663509724415
no_rejection,none,,0.05,color_s3,full,1.0,1.0,0.0,0.15297811607230608,0.15297811607230608,0.1690221860213843,0.10297811607230607,0.10297811607230607,0.847021883927694,3293400.998199463,146,0.07623668910651696,0.043315165765821735
no_rejection,none,,0.05,color_s3,boundary,1.0,1.0,0.0,0.47624105204866357,0.4782381815776186,0.49654062674061894,0.4262410520486636,0.4262410520486636,0.5217618184223813,364768.99942560494,146,0.4231146312663204,0.2758883309273995
no_rejection,none,,0.05,color_s3,interior,1.0,1.0,0.0,0.14114517339466184,0.14103122478608757,0.1579354422608285,0.09114517339466184,0.09114517339466184,0.8589687752139123,2928631.9899431537,146,0.0724317423001155,0.04095653803177194
no_rejection,none,,0.05,turbidity_s1,full,1.0,1.0,0.0,0.14368483959059294,0.14368483959059294,0.15981531877083424,0.09368483959059294,0.09368483959059294,0.856315160409407,3093329.989173889,146,0.07121968947991793,0.03724790210231138
no_rejection,none,,0.05,turbidity_s1,boundary,1.0,1.0,0.0,0.4701059203441829,0.4729650554160318,0.4911862264757287,0.4201059203441829,0.4201059203441829,0.5270349445839682,360747.001542747,146,0.4168391479491831,0.2731896255560253
no_rejection,none,,0.05,turbidity_s1,interior,1.0,1.0,0.0,0.13173287067273695,0.13159028769205522,0.14842229613464977,0.08173287067273695,0.08173287067273695,0.8684097123079448,2732582.9913574755,146,0.06774542718883479,0.03510038855033477
no_rejection,none,,0.05,turbidity_s2,full,1.0,1.0,0.0,0.14813831564013477,0.14813831564013477,0.16729250257477574,0.09813831564013477,0.09813831564013477,0.8518616843598652,3189206.98677063,146,0.07251081496004423,0.03795752405037782
no_rejection,none,,0.05,turbidity_s2,boundary,1.0,1.0,0.0,0.470986714305943,0.47442165430969363,0.4863021557461725,0.42098671430594303,0.42098671430594303,0.5255783456903064,361858.00049990416,146,0.41679643643280007,0.2729922999679868
no_rejection,none,,0.05,turbidity_s2,interior,1.0,1.0,0.0,0.13632342370333828,0.13615384104716316,0.15620758668128848,0.08632342370333827,0.08632342370333827,0.8638461589528368,2827349.014724664,146,0.06899465698261363,0.035798288939386504
no_rejection,none,,0.05,turbidity_s3,full,1.0,1.0,0.0,0.15635962117214572,0.15635962117214572,0.1863977171317993,0.10635962117214572,0.10635962117214572,0.8436403788278543,3366199.9877357483,146,0.08037409577202352,0.04487708578920141
no_rejection,none,,0.05,turbidity_s3,boundary,1.0,1.0,0.0,0.4761734781404064,0.4795086114084601,0.490900590505502,0.4261734781404064,0.4261734781404064,0.5204913885915399,365738.0007226318,146,0.42241778213218206,0.27581179869712497
no_rejection,none,,0.05,turbidity_s3,interior,1.0,1.0,0.0,0.14468739803362962,0.14449027167508488,0.17567836334079676,0.09468739803362962,0.09468739803362962,0.8555097283249151,3000462.0076516164,146,0.07665873834791881,0.042644797054774586
no_rejection,none,,0.05,lowlight_s1,full,1.0,1.0,0.0,0.14948187910071384,0.14948187910071384,0.165377105892419,0.09948187910071384,0.09948187910071384,0.8505181208992861,3218131.9948425293,146,0.07315967665934683,0.03792177948579156
no_rejection,none,,0.05,lowlight_s1,boundary,1.0,1.0,0.0,0.4731770073101945,0.47503392442502035,0.49614294475480303,0.42317700731019453,0.42317700731019453,0.5249660755749797,362325.0003463179,146,0.4196774306880591,0.27388081533091496
