condition,method,region,boundary_radius,pixels,error_rate,nll,brier_score,ece,error_auroc,aurc,oracle_aurc,eaurc,mean_wrong_confidence
clean,raw,boundary,3,2127005,0.44020723975731135,1.6121978090231335,0.6702963410736281,0.23196503254088802,0.5704418535568776,0.40185073956868206,0.11542184245401348,0.28642889711466857,0.7663710713386536
clean,raw,interior,3,19401571,0.13693061247462898,0.6628416110285605,0.2278804498131878,0.07521506452748827,0.7854797229418436,0.05033837363113901,0.00983485183403022,0.04050352179710879,0.8239368796348572
clean,clean_global,boundary,3,2127005,0.44020723975731135,1.1938147339583711,0.6061861319525577,0.08886037172461875,0.570404623234274,0.40156675260206753,0.11542184245401348,0.28614491014805404,0.6118034720420837
clean,clean_global,interior,3,19401571,0.13693061247462898,0.4976362936183106,0.22171870208989777,0.03209682772739484,0.7832260427136595,0.05053180618108203,0.00983485183403022,0.04069695434705181,0.6876082420349121
color_s1,raw,boundary,3,2127005,0.4410342241790687,1.6078811512182036,0.6697291675787962,0.23076521630220487,0.5773688853294836,0.3966677372343069,0.1159022605716,0.2807654766627069,0.7621585726737976
color_s1,raw,interior,3,19401571,0.13913115592546604,0.6510219482113716,0.2287045816901889,0.07366424340347928,0.7961821995253432,0.04820292240211958,0.010161711996031551,0.03804121040608803,0.8126630187034607
color_s1,clean_global,boundary,3,2127005,0.4410342241790687,1.1992660087188323,0.6053764478434759,0.08266693572473224,0.5777857655478815,0.39613974016393777,0.1159022605716,0.2802374795923378,0.6039807796478271
color_s1,clean_global,interior,3,19401571,0.13913115592546604,0.4985326558735888,0.222993658646573,0.030576192843314923,0.7932101037422149,0.04853179504103549,0.010161711996031551,0.03837008304500394,0.673732578754425
color_s2,raw,boundary,3,2127005,0.4444691009188977,1.6117509916378898,0.6724997023947699,0.23028610599026383,0.5844343413282365,0.3920201701608685,0.1179107905706204,0.27410937959024806,0.756213903427124
color_s2,raw,interior,3,19401571,0.14581185204022912,0.6497568994380661,0.23589855010967925,0.07416282777624622,0.8114147324762169,0.046775067602974986,0.011188557689332971,0.03558650991364201,0.7993108034133911
color_s2,clean_global,boundary,3,2127005,0.4444691009188977,1.2124768316027112,0.6071350247876416,0.07820606231905226,0.5858359475866539,0.39106331438768005,0.1179107905706204,0.2731525238170597,0.5932658910751343
color_s2,clean_global,interior,3,19401571,0.14581185204022912,0.5097213527515375,0.2294158626864546,0.027525366831674593,0.80831114807264,0.04713622336333118,0.011188557689332971,0.03594766567399821,0.6530610918998718
color_s3,raw,boundary,3,2127005,0.4520492429495934,1.6237188531012503,0.6797401006454792,0.2311542453136191,0.59104163747648,0.39141999505356984,0.12241858522674423,0.26900140982682563,0.7477225661277771
color_s3,raw,interior,3,19401571,0.15771980526731572,0.6691907336395594,0.2516822316862897,0.07742680870010069,0.8174220715825775,0.0497012026290555,0.013148687141175765,0.03655251548787974,0.7888697981834412
color_s3,clean_global,boundary,3,2127005,0.4520492429495934,1.2331348208807689,0.6126020613308091,0.0731538892012977,0.5941091747784024,0.38987604582343377,0.12241858522674423,0.2674574605966895,0.5797156691551208
color_s3,clean_global,interior,3,19401571,0.15771980526731572,0.5357729757908521,0.24329137525126188,0.03103893065441387,0.813894108166708,0.05031364929791432,0.013148687141175765,0.037164962156738555,0.6344078779220581
turbidity_s1,raw,boundary,3,2127005,0.4400915841758717,1.612140474333335,0.6698928173983195,0.2315342743321473,0.5723770700390038,0.3998877935805848,0.11535475234676432,0.2845330412338205,0.7654148936271667
turbidity_s1,raw,interior,3,19401571,0.1380324304665844,0.6625793024135134,0.22849324359722598,0.07504928613454047,0.7912597355009525,0.04934311641420597,0.009997809364121646,0.03934530705008432,0.8189089894294739
turbidity_s1,clean_global,boundary,3,2127005,0.4400915841758717,1.1955063033540707,0.6057928527473195,0.08711569785938947,0.5723382524403424,0.3998077761131962,0.11535475234676432,0.2844530237664319,0.6099581122398376
turbidity_s1,clean_global,interior,3,19401571,0.1380324304665844,0.4998442394175193,0.22231308151057716,0.030000122111464057,0.7882340846916605,0.049735901165549413,0.009997809364121646,0.03973809180142777,0.6814125776290894
turbidity_s2,raw,boundary,3,2127005,0.44063319080115,1.5864258205052408,0.6682353899614717,0.22915254060345092,0.5784414624673513,0.3941428455183691,0.1156691365045986,0.2784737090137705,0.7609231472015381
turbidity_s2,raw,interior,3,19401571,0.14154080615430575,0.6509230431246392,0.23198447565873015,0.07522538798436915,0.8001628902365507,0.04826809975873793,0.010526084771196294,0.037742014987541636,0.8105889558792114
turbidity_s2,clean_global,boundary,3,2127005,0.44063319080115,1.1911238675390985,0.6035586253286604,0.08082184224897601,0.5790036163400151,0.3936905798335305,0.1156691365045986,0.2780214433289319,0.6011343002319336
